tag,a_last,b_last,a_tail20_mean,b_tail20_mean,b_minus_a
Episode_Reward/action_rate_l2,-0.045015256851911545,-0.04076613485813141,-0.043949453514223254,-0.040494791277852216,0.003454662236371038
Episode_Reward/action_second_difference_l2,-0.02383587695658207,-0.021260946989059448,-0.02347557679249728,-0.021392873198282522,0.002082703594214759
Episode_Reward/dof_acc_l2,-0.06362822651863098,-0.057724256068468094,-0.06337374587320099,-0.05737625572402946,0.0059974901491715304
Episode_Reward/dof_torques_l2,-0.013589322566986084,-0.01281281653791666,-0.013507027294455973,-0.012877071787771142,0.000629955506684831
Episode_Reward/termination_penalty,-0.0015249999705702066,-0.0006916667334735394,-0.002068053339540666,-0.0011358254985859022,0.0009322278409547636
Episode_Reward/touchdown_impact_l2,-0.015065963380038738,-0.015372570604085922,-0.014451619068329985,-0.014526824940179215,-7.520587184923003e-05
Episode_Reward/track_ang_vel_z_exp,0.6624887585639954,0.667532205581665,0.6607024689351232,0.6665461136669409,0.005843644731817754
Episode_Reward/track_ang_vel_z_fine_exp,0.2676788568496704,0.26992538571357727,0.2673633064120269,0.27213262363535456,0.004769317223327685
Episode_Reward/track_lin_vel_xy_exp,1.288043737411499,1.3065755367279053,1.2867574120356031,1.2988752625027642,0.012117850467161073
Episode_Reward/track_lin_vel_xy_fine_exp,0.3753472864627838,0.3882337808609009,0.37585256735155403,0.3847954251238557,0.008942857772301693
Episode_Reward/trot_contact_match,0.2703348696231842,0.2709328830242157,0.2693694531917572,0.2704229828764181,0.001053529684660881
Episode_Reward/trot_extra_swing_contacts,-0.08467508107423782,-0.08436036854982376,-0.08675922748963695,-0.08083638231285283,0.005922845176784125
Episode_Reward/trot_missing_stance_contacts,-0.050807781517505646,-0.055353887379169464,-0.04959716844903536,-0.05433844179525727,-0.0047412733462219095
Episode_Reward/trot_stance_feet_slide,-0.03133241459727287,-0.028884705156087875,-0.03160434722715665,-0.029286358139065445,0.0023179890880912074
Episode_Reward/trot_swing_foot_height_tracking,0.23678874969482422,0.23173417150974274,0.2261776805909212,0.21611294761055805,-0.010064732980363145
Episode_Termination/base_contact,0.0,0.0,0.0,0.0,0.0
Episode_Termination/root_height,0.022160643711686134,0.0073266602121293545,0.01982996861396496,0.011367607468617012,-0.008462361145347947
Episode_Termination/time_out,0.9778393507003784,0.9926733374595642,0.9801901859685409,0.9886523802749446,0.008462194306403714
Train/mean_episode_length,998.6099853515625,999.5599975585938,991.5390085267627,995.5747520571849,4.035743530422224
Train/mean_episode_length/time,998.6099853515625,999.5599975585938,991.5390085267627,995.5747520571849,4.035743530422224
Train/mean_reward,53.701019287109375,54.81907653808594,53.54290153566471,54.310975246742125,0.7680737110774132
Train/mean_reward/time,53.701019287109375,54.81907653808594,53.54290153566471,54.310975246742125,0.7680737110774132
