t_host_mono_ns,t_rel_s,phase,q_cmd_rad,kp,kd,q_real_rad,dq_real,tau_real_nm
199180576992600,4e-07,ramp,-0.0040054932478827965,1.866666666666667e-05,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180578567300,0.0015751,ramp,-0.0040054932478827965,0.07350466666666666,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180579477200,0.002485,ramp,-0.0040054932478827965,0.11596666666666666,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180580474900,0.0034827,ramp,-0.0040054932478827965,0.162526,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180581495200,0.004503,ramp,-0.0040054932478827965,0.21014000000000002,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180582505000,0.0055128,ramp,-0.0040054932478827965,0.257264,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180583558800,0.0065666,ramp,-0.0040054932478827965,0.30644133333333334,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180584495300,0.0075031,ramp,-0.0040054932478827965,0.35014466666666666,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180585523700,0.0085315,ramp,-0.0040054932478827965,0.39813666666666664,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180586515800,0.0095236,ramp,-0.0040054932478827965,0.44443466666666664,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180587544500,0.0105523,ramp,-0.0040054932478827965,0.4924406666666667,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180588541000,0.0115488,ramp,-0.0040054932478827965,0.5389440000000001,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180589545000,0.0125528,ramp,-0.0040054932478827965,0.5857973333333333,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180590565100,0.0135729,ramp,-0.0040054932478827965,0.633402,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180591562300,0.0145701,ramp,-0.0040054932478827965,0.6799379999999999,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
199180592585200,0.015593,ramp,-0.0040054932478827965,0.7276733333333333,2.0,-0.0040054932478827965,0.010989010989007397,-0.004884004884004867
