t_host_mono_ns,t_rel_s,phase,q_cmd_rad,kp,kd,q_real_rad,dq_real,tau_real_nm
198772835679500,3e-07,ramp,-0.012779430838483208,1.4e-05,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772837001300,0.0013221,ramp,-0.012779430838483208,0.061698,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772837933700,0.0022545,ramp,-0.012779430838483208,0.10521,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772839030300,0.0033511,ramp,-0.012779430838483208,0.15638466666666667,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772840135500,0.0044563,ramp,-0.012779430838483208,0.20796066666666668,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772841204600,0.0055254,ramp,-0.012779430838483208,0.257852,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772842300200,0.006621,ramp,-0.012779430838483208,0.30898,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772843304700,0.0076255,ramp,-0.012779430838483208,0.3558566666666667,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772844573200,0.008894,ramp,-0.012779430838483208,0.4150533333333334,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772845180200,0.009501,ramp,-0.012779430838483208,0.44337999999999994,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772846180500,0.0105013,ramp,-0.012779430838483208,0.49006066666666664,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772847268600,0.0115894,ramp,-0.012779430838483208,0.5408386666666666,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772848416500,0.0127373,ramp,-0.012779430838483208,0.5944073333333333,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772849033200,0.013354,ramp,-0.012779430838483208,0.6231866666666667,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772850035700,0.0143565,ramp,-0.012779430838483208,0.6699700000000001,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772851137300,0.0154581,ramp,-0.012779430838483208,0.7213780000000001,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
198772852368700,0.0166895,ramp,-0.012779430838483208,0.7788433333333333,2.0,-0.012779430838483208,-0.010989010989007397,0.004884004884004867
