t_host_mono_ns,t_rel_s,phase,q_cmd_rad,kp,kd,dq_cmd_rad_s,tau_ff_nm,q_real_rad,dq_real,tau_real_nm
203439620129600,6e-07,ramp,-0.0661860074769205,2.1e-05,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439621589400,0.0014604,ramp,-0.0661860074769205,0.05111399999999999,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439622655800,0.0025268,ramp,-0.0661860074769205,0.08843799999999999,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439623816500,0.0036875,ramp,-0.0661860074769205,0.1290625,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439624919400,0.0047904,ramp,-0.0661860074769205,0.167664,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439625539500,0.0054105,ramp,-0.0661860074769205,0.1893675,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439626915300,0.0067863,ramp,-0.0661860074769205,0.23752049999999997,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439627552400,0.0074234,ramp,-0.0661860074769205,0.25981899999999997,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439628552100,0.0084231,ramp,-0.0661860074769205,0.2948085,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439629598600,0.0094696,ramp,-0.0661860074769205,0.33143599999999995,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439630690800,0.0105618,ramp,-0.0661860074769205,0.36966299999999996,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439631814500,0.0116855,ramp,-0.0661860074769205,0.4089925,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439632434500,0.0123055,ramp,-0.0661860074769205,0.4306925,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439633446400,0.0133174,ramp,-0.0661860074769205,0.46610899999999994,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439634451500,0.0143225,ramp,-0.0661860074769205,0.5012875,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439635453700,0.0153247,ramp,-0.0661860074769205,0.5363645,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
203439636456600,0.0163276,ramp,-0.0661860074769205,0.571466,2.0,0.0,0.0,-0.0661860074769205,-0.0329670329670364,-0.004884004884004867
