t_host_mono_ns,channel,can_id,data_hex
203439419237700,0,17,0100550a01000000
203439419441100,0,17,117f527ff8011d1b
203439419463800,0,17,117f527ff8011d1b
203439419475200,0,17,117f527ff8011d1b
203439419482600,0,17,117f527ff8001d1b
203439419489400,0,17,117f527ff8001d1b
203439530333000,0,17,117f527fe7ff1d1b
203439641626100,0,17,117f527fe7fe1d1b
203439641664900,0,17,117f528007fe1d1b
203439641674800,0,17,117f527fe7fe1d1b
203439641681500,0,17,117f527ff7fe1d1b
203439641688000,0,17,117f527fe7fe1d1b
203439641695000,0,17,117f527fe7ff1d1b
203439641701300,0,17,117f527ff7fe1d1b
203439641707000,0,17,117f527ff7fe1d1b
203439641712600,0,17,117f527ff7fe1d1b
203439641717900,0,17,117f527ff7fe1d1b
203439641728900,0,17,117f527ff7fe1d1b
203439641737900,0,17,117f527ff7fe1d1b
203439641777400,0,17,117f527ff7fe1d1b
203439641796500,0,17,117f527ff7fe1d1b
203439641804000,0,17,117f527ff7fd1d1b
203439641810200,0,17,117f527ff7fd1d1b
203439641816200,0,17,117f527ff7fd1d1b
203439641821800,0,17,117f527ff7fd1d1b
203439641827600,0,17,117f527ff7fd1d1b
203439641836600,0,17,117f527ff7fd1d1b
203439641842900,0,17,117f527ff7fd1d1b
203439753861400,0,17,117f527ff7fd1d1b
203439753887600,0,17,117f527ff7fd1d1b
203439753895600,0,17,117f528007fd1d1b
203439753901700,0,17,117f527ff7fd1d1b
203439753908200,0,17,117f527ff7fd1d1b
203439753914300,0,17,117f528007fd1d1b
203439753928900,0,17,117f527ff7fc1d1b
203439753937800,0,17,117f527fe7fc1d1b
203439753956700,0,17,117f527ff7fd1d1b
203439753963500,0,17,117f527ff7fd1d1b
203439753971200,0,17,117f527ff7fd1d1b
203439753979500,0,17,117f527ff7fd1d1b
203439753986000,0,17,117f527ff7fd1d1b
203439753991900,0,17,117f527ff7fe1d1b
203439753997900,0,17,117f527ff7fe1d1b
203439754003500,0,17,117f527ff7fe1d1b
203439754011700,0,17,117f528007fe1d1b
203439754017100,0,17,117f527ff7fe1d1b
203439754022800,0,17,117f527ff7fd1d1b
203439754028600,0,17,117f527ff7fe1d1b
203439754034200,0,17,117f527ff7fd1d1b
203439754040100,0,17,117f527ff7fd1d1b
203439754045700,0,17,117f527ff7fd1d1b
203439754051200,0,17,117f527ff7fe1d1b
203439754056700,0,17,117f527ff7fd1d1b
203439754062300,0,17,117f527ff7fd1d1b
203439754067700,0,17,117f527ff7fd1d1b
203439754073400,0,17,117f527ff7fd1d1b
203439754080300,0,17,117f527fe7fc1d1b
203439754086500,0,17,117f527ff7fc1d1b
203439754093100,0,17,117f527ff7fc1d1b
203439754099400,0,17,117f527ff7fc1d1b
203439754105000,0,17,117f527ff7fc1d1b
203439754110400,0,17,117f527ff7fc1d1b
203439754115900,0,17,117f527ff7fc1d1b
203439754121500,0,17,117f527ff7fc1d1b
203439754127200,0,17,117f527ff7fc1d1b
203439754133700,0,17,117f527ff7fc1d1b
203439754140000,0,17,117f527ff7fc1d1b
203439754145400,0,17,117f527fe7fd1d1b
203439754150800,0,17,117f527ff7fc1d1b
203439754156000,0,17,117f527ff7fd1d1b
203439754161800,0,17,117f527ff7fd1d1b
203439754167200,0,17,117f527ff7fd1d1b
203439754174800,0,17,117f527ff7fe1d1b
203439754180000,0,17,117f527ff7fd1d1b
203439754185300,0,17,117f527ff7fd1d1b
203439754190700,0,17,117f527fe7fc1d1b
203439754196100,0,17,117f527ff7fc1d1b
203439754202900,0,17,117f527ff7fc1d1b
203439754227200,0,17,117f527ff7fd1d1b
203439754247300,0,17,117f527ff7fd1d1b
203439754254600,0,17,117f527ff7fd1d1b
203439754260800,0,17,117f527ff7fd1d1b
203439754268900,0,17,117f527fe7fd1d1b
203439754274300,0,17,117f527ff7fd1d1b
