t_host_mono_ns,t_rel_s,phase,q_cmd_rad,kp,kd,q_real_rad,dq_real,tau_real_nm
199054955486800,5e-07,ramp,-0.0040054932478827965,2.3333333333333332e-05,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054956710300,0.001224,ramp,-0.0040054932478827965,0.057120000000000004,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054957702800,0.0022165,ramp,-0.0040054932478827965,0.10343666666666668,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054958761900,0.0032756,ramp,-0.0040054932478827965,0.15286133333333335,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054959762500,0.0042762,ramp,-0.0040054932478827965,0.19955599999999998,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054960774800,0.0052885,ramp,-0.0040054932478827965,0.24679666666666666,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054961777000,0.0062907,ramp,-0.0040054932478827965,0.293566,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054962850800,0.0073645,ramp,-0.0040054932478827965,0.34367666666666663,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054963943700,0.0084574,ramp,-0.0040054932478827965,0.3946786666666666,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054965000000,0.0095137,ramp,-0.0040054932478827965,0.4439726666666667,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054966102000,0.0106157,ramp,-0.0040054932478827965,0.49539933333333336,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054967214000,0.0117277,ramp,-0.0040054932478827965,0.5472926666666666,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054967832200,0.0123459,ramp,-0.0040054932478827965,0.576142,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054968831600,0.0133453,ramp,-0.0040054932478827965,0.6227806666666666,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054969927700,0.0144414,ramp,-0.0040054932478827965,0.673932,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054971091000,0.0156047,ramp,-0.0040054932478827965,0.7282193333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054971998500,0.0165122,ramp,-0.0040054932478827965,0.7705693333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054973004200,0.0175179,ramp,-0.0040054932478827965,0.817502,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054974103200,0.0186169,ramp,-0.0040054932478827965,0.8687886666666667,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054975244400,0.0197581,ramp,-0.0040054932478827965,0.9220446666666667,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054975843800,0.0203575,ramp,-0.0040054932478827965,0.9500166666666667,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054976865300,0.021379,ramp,-0.0040054932478827965,0.9976866666666666,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054978027500,0.0225412,ramp,-0.0040054932478827965,1.0519226666666666,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054979025700,0.0235394,ramp,-0.0040054932478827965,1.0985053333333334,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054980085500,0.0245992,ramp,-0.0040054932478827965,1.1479626666666667,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054980690000,0.0252037,ramp,-0.0040054932478827965,1.1761726666666665,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054981728500,0.0262422,ramp,-0.0040054932478827965,1.2246359999999998,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199054982795100,0.0273088,ramp,-0.0040054932478827965,1.2744106666666668,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
