scenario,metric,statistic,a,b,b_minus_a,b_over_a
backward_nominal,velocity_x_rmse,rms,0.027389773438630943,0.03294853251905498,0.005558759080424039,1.2029501665239728
backward_nominal,yaw_rate_rmse,rms,0.06317700395785837,0.03828372957146062,-0.024893274386397754,0.6059757059229561
backward_nominal,base_tilt_rms,rms,0.011104011126937591,0.01521351607983781,0.004109504952900219,1.37009193397968
backward_nominal,base_ang_vel_xy_rms,rms,0.1393088911775303,0.13039666698671978,-0.008912224190810503,0.9360254459318531
backward_nominal,joint_target_step_p95_deg,p95,4.123237456407212,3.6274816651254493,-0.4957557912817627,0.8797654036365541
backward_nominal,joint_acc_p95_rad_s2,p95,27.191162109375,26.595935344696045,-0.5952267646789551,0.9781095503647587
backward_nominal,joint_torque_p95_nm,p95,5.749201655387878,5.327426195144653,-0.4217754602432251,0.9266375602170855
backward_nominal,mechanical_power_mean_w,mean,3.6571433363216266,4.311279560838427,0.6541362245168005,1.1788653504554005
backward_nominal,foot_force_p95_n,p95,57.46861419677734,56.72833023071289,-0.740283966064446,0.9871184649845627
backward_nominal,touchdown_force_p95_n,p95,43.32754631042479,60.67146167755127,17.343915367126478,1.4002976592042429
backward_nominal,contact_mismatch_mean,mean,0.04241071428571429,0.07366071428571429,0.03125,1.736842105263158
backward_nominal,swing_height_mean_m,mean,0.03667351301089766,0.035195789101083626,-0.0014777239098140368,0.959705962464656
backward_nominal,action_second_step_p95,p95,0.41343598961830075,0.3555146962404248,-0.05792129337787594,0.8599026334612258
backward_slow,velocity_x_rmse,rms,0.02416340873811576,0.029528369198030213,0.005364960459914452,1.222028295678816
backward_slow,yaw_rate_rmse,rms,0.05196627247786833,0.03628607952640815,-0.015680192951460177,0.6982621187975693
backward_slow,base_tilt_rms,rms,0.024875726999089274,0.011850832833206336,-0.013024894165882938,0.476401466925578
backward_slow,base_ang_vel_xy_rms,rms,0.125734198446142,0.09359019728145727,-0.03214400116468473,0.7443495758359365
backward_slow,joint_target_step_p95_deg,p95,3.7015318440310594,2.7965566665061576,-0.9049751775249018,0.7555133345714078
backward_slow,joint_acc_p95_rad_s2,p95,23.456472396850586,22.36930274963379,-1.0871696472167969,0.9536516135579377
backward_slow,joint_torque_p95_nm,p95,5.824394464492798,5.104674696922302,-0.7197197675704956,0.8764301126995919
backward_slow,mechanical_power_mean_w,mean,1.9567532605890716,2.274999317846128,0.31824605725705624,1.1626398502390893
backward_slow,foot_force_p95_n,p95,57.36016216278076,56.254402542114256,-1.105759620666504,0.9807225157849362
backward_slow,touchdown_force_p95_n,p95,55.453199768066405,34.61325626373291,-20.839943504333498,0.6241886204674071
backward_slow,contact_mismatch_mean,mean,0.06919642857142858,0.08035714285714286,0.011160714285714288,1.1612903225806452
backward_slow,swing_height_mean_m,mean,0.03722141001240483,0.03428240183607808,-0.0029390081763267517,0.9210398484273631
backward_slow,action_second_step_p95,p95,0.4214177697896953,0.31615710258483876,-0.10526066720485655,0.7502225232282305
backward_yaw,velocity_x_rmse,rms,0.02503735970623423,0.03147835493375425,0.006440995227520018,1.257255369699235
backward_yaw,yaw_rate_rmse,rms,0.05937336992672185,0.06094674224691145,0.0015733723201896005,1.0264996297520494
backward_yaw,base_tilt_rms,rms,0.014196202369089968,0.011070287003431845,-0.0031259153656581235,0.7798062267367842
backward_yaw,base_ang_vel_xy_rms,rms,0.12054415642079354,0.1104848706171629,-0.010059285803630635,0.9165510290808635
backward_yaw,joint_target_step_p95_deg,p95,3.9554154396317687,3.740469621239221,-0.21494581839254767,0.9456578400744277
backward_yaw,joint_acc_p95_rad_s2,p95,33.36638355255127,31.06523370742798,-2.301149845123291,0.9310338850028792
backward_yaw,joint_torque_p95_nm,p95,5.6723374128341675,5.483546018600464,-0.1887913942337036,0.9667171783881287
backward_yaw,mechanical_power_mean_w,mean,3.8000725401299342,4.4628583671791215,0.6627858270491873,1.1744139934303794
backward_yaw,foot_force_p95_n,p95,56.793705177307125,56.952150917053224,0.15844573974609943,1.0027898468545315
backward_yaw,touchdown_force_p95_n,p95,72.5276351928711,44.54696273803711,-27.980672454833993,0.6142067450506883
backward_yaw,contact_mismatch_mean,mean,0.07142857142857142,0.10267857142857142,0.03125,1.4375
backward_yaw,swing_height_mean_m,mean,0.036110467359341765,0.03453671178974948,-0.0015737555695922861,0.9564182996046116
backward_yaw,action_second_step_p95,p95,0.40127130597829785,0.3580573707818985,-0.04321393519639938,0.8923074375052958
forward_nominal,velocity_x_rmse,rms,0.030612476061313412,0.023467161979349817,-0.0071453140819635955,0.766588169227072
forward_nominal,yaw_rate_rmse,rms,0.0517662479460389,0.0410667027021409,-0.010699545243898004,0.7933103968622335
forward_nominal,base_tilt_rms,rms,0.048283193580513535,0.03348182772636132,-0.014801365854152218,0.6934468340527116
forward_nominal,base_ang_vel_xy_rms,rms,0.2578346365660448,0.16190722371026037,-0.0959274128557844,0.6279498591291383
forward_nominal,joint_target_step_p95_deg,p95,4.2836585576744675,3.56856799650555,-0.7150905611689176,0.833065462258241
forward_nominal,joint_acc_p95_rad_s2,p95,32.182732582092285,32.202260971069336,0.01952838897705078,1.0006067971054737
forward_nominal,joint_torque_p95_nm,p95,6.005569338798523,5.407350540161133,-0.5982187986373901,0.9003893278239844
forward_nominal,mechanical_power_mean_w,mean,3.760726636009557,3.094053690986974,-0.666672945022583,0.8227276243268832
forward_nominal,foot_force_p95_n,p95,57.73232536315918,60.841864776611324,3.109539413452147,1.0538613228185754
forward_nominal,touchdown_force_p95_n,p95,124.06875991821289,51.37181282043458,-72.69694709777832,0.41405921083034347
forward_nominal,contact_mismatch_mean,mean,0.11160714285714286,0.11607142857142858,0.004464285714285712,1.04
forward_nominal,swing_height_mean_m,mean,0.03844964556563436,0.035676324342408874,-0.002773321223225489,0.9278713449128843
forward_nominal,action_second_step_p95,p95,0.4309049980714917,0.31137003451585765,-0.11953496355563403,0.7225955510133073
forward_slow,velocity_x_rmse,rms,0.01300867682259971,0.01937157228654898,0.006362895463949268,1.4891270304213522
forward_slow,yaw_rate_rmse,rms,0.04641756649268232,0.04975505047131199,0.0033374839786296726,1.071901313033199
forward_slow,base_tilt_rms,rms,0.03860236963371076,0.027419778635233028,-0.011182590998477734,0.7103133536985725
forward_slow,base_ang_vel_xy_rms,rms,0.22110360019161263,0.13390823737106072,-0.0871953628205519,0.6056357167183767
forward_slow,joint_target_step_p95_deg,p95,3.6572392625466312,2.7070811456903083,-0.9501581168563229,0.7401979885246275
forward_slow,joint_acc_p95_rad_s2,p95,25.810259342193604,22.323834896087646,-3.486424446105957,0.864920983556082
forward_slow,joint_torque_p95_nm,p95,5.246113300323486,4.614280700683594,-0.6318325996398926,0.8795617701201893
forward_slow,mechanical_power_mean_w,mean,2.0986267823193754,1.9259683851684843,-0.17265839715089104,0.9177279168428075
forward_slow,foot_force_p95_n,p95,57.36551208496094,58.861106300354,1.4955942153930621,1.0260713129027423
forward_slow,touchdown_force_p95_n,p95,101.4567398071289,47.70868511199953,-53.74805469512937,0.4702367255511522
forward_slow,contact_mismatch_mean,mean,0.08035714285714286,0.09598214285714286,0.015625,1.1944444444444444
forward_slow,swing_height_mean_m,mean,0.03874657247658996,0.03512264622951902,-0.0036239262470709396,0.906471049813233
forward_slow,action_second_step_p95,p95,0.3534059062600125,0.278044823557138,-0.0753610827028745,0.7867577157937229
forward_yaw,velocity_x_rmse,rms,0.021417800043315748,0.015017729861839071,-0.0064000701814766765,0.7011798518739992
forward_yaw,yaw_rate_rmse,rms,0.05481099610377455,0.04743015419326331,-0.007380841910511242,0.8653401245155813
forward_yaw,base_tilt_rms,rms,0.030667566239669288,0.023886877412829997,-0.0067806888268392915,0.7788970675453113
forward_yaw,base_ang_vel_xy_rms,rms,0.15905299118140337,0.1387671605140611,-0.02028583066734227,0.8724586660290731
forward_yaw,joint_target_step_p95_deg,p95,4.031674736502715,3.918622469889039,-0.11305226661367573,0.9719589813161011
forward_yaw,joint_acc_p95_rad_s2,p95,37.35359287261963,36.41557788848877,-0.9380149841308594,0.9748882259511259
forward_yaw,joint_torque_p95_nm,p95,5.204382300376892,4.725473523139954,-0.4789087772369385,0.9079797083311392
forward_yaw,mechanical_power_mean_w,mean,3.62858815065452,3.9105106091925075,0.28192245853798736,1.0776948076863269
forward_yaw,foot_force_p95_n,p95,58.38963088989257,60.68513584136963,2.2955049514770565,1.0393135718875457
forward_yaw,touchdown_force_p95_n,p95,139.16983032226562,73.1065902709961,-66.06324005126953,0.5253048746391973
forward_yaw,contact_mismatch_mean,mean,0.11607142857142858,0.12053571428571429,0.004464285714285712,1.0384615384615385
forward_yaw,swing_height_mean_m,mean,0.0376568664847822,0.035131136016858806,-0.0025257304679233913,0.93292775783816
forward_yaw,action_second_step_p95,p95,0.4106144487857815,0.3893568746745586,-0.02125757411122292,0.9482298438983743
lateral_left,velocity_x_rmse,rms,0.015766846173409746,0.02495750311083535,0.009190656937425604,1.5829102939385136
lateral_left,yaw_rate_rmse,rms,0.0482901698455821,0.046776191139986587,-0.0015139787055955117,0.9686483043974213
lateral_left,base_tilt_rms,rms,0.032621981149735704,0.020872230591866155,-0.011749750557869549,0.6398210610220789
lateral_left,base_ang_vel_xy_rms,rms,0.1699117959969548,0.10424364661999647,-0.06566814937695833,0.613516242402998
lateral_left,joint_target_step_p95_deg,p95,3.884202137109239,2.803259259204738,-1.080942877904501,0.7217078721065282
lateral_left,joint_acc_p95_rad_s2,p95,25.39805269241333,23.14125394821167,-2.25679874420166,0.9111428434481597
lateral_left,joint_torque_p95_nm,p95,5.614715814590454,5.213062405586243,-0.4016534090042114,0.9284641605617027
lateral_left,mechanical_power_mean_w,mean,1.8769577023174082,1.6236867747668708,-0.2532709275505374,0.8650630606977273
