t_host_mono_ns,channel,can_id,data_hex
203053365079500,0,17,0100550a01000000
203053365153500,0,17,117f677fe7ff1c1a
203053365175000,0,17,117f677ff7ff1c1a
203053365185900,0,17,117f677ff7ff1c1a
203053365194300,0,17,117f688007ff1c1a
203053365200900,0,17,117f687ff7ff1c1a
203053475467100,0,17,117f677ff7ff1c1a
203053584751600,0,17,117f677ff7ff1c1a
203053584787800,0,17,117f677ff7ff1c1a
203053584796800,0,17,117f677ff7fe1c1a
203053584802900,0,17,117f677ff7fe1c1a
203053584809000,0,17,117f677ff7fe1c1a
203053584815700,0,17,117f677ff7fe1c1a
203053584822500,0,17,117f677ff7fe1c1a
203053584830800,0,17,117f677ff7fe1c1a
203053584839200,0,17,117f677ff7fe1c1a
203053584847700,0,17,117f677fe7fe1c1a
203053692632400,0,17,117f677ff7fd1c1a
203053692659500,0,17,117f677ff7fd1c1a
203053692667100,0,17,117f677ff7fd1c1a
203053692673100,0,17,117f677ff7fd1c1a
203053692679400,0,17,117f677ff7fd1c1a
203053692686100,0,17,117f677ff7fd1c1a
203053692691600,0,17,117f677ff7fd1c1a
203053692697200,0,17,117f677ff7fd1c1a
203053692714800,0,17,117f677ff7fd1c1a
203053692724400,0,17,117f677ff7fd1c1a
203053692735500,0,17,117f677ff7fc1c1a
203053692742700,0,17,117f678007fc1c1a
203053692748400,0,17,117f677ff7fc1c1a
203053692753800,0,17,117f677fe7fc1c1a
203053692759400,0,17,117f677ff7fc1c1a
203053692803100,0,17,117f677ff7fc1c1a
203053692813500,0,17,117f677fe7fc1c1a
203053692819700,0,17,117f677ff7fc1c1a
203053692825500,0,17,117f677ff7fc1c1a
203053692831100,0,17,117f687ff7fc1c1a
203053692836700,0,17,117f677ff7fd1c1a
203053692842200,0,17,117f677ff7fc1c1a
203053692847700,0,17,117f677ff7fc1c1a
203053692853100,0,17,117f677ff7fc1c1a
203053692858700,0,17,117f677ff7fc1c1a
203053692872400,0,17,117f687ff7fc1c1a
203053692881400,0,17,117f677ff7fc1c1a
203053692887000,0,17,117f677ff7fc1c1a
203053692892600,0,17,117f677ff7fc1c1a
203053692897900,0,17,117f687ff7fc1c1a
203053692904000,0,17,117f677ff7fc1c1a
203053692909900,0,17,117f677ff7fc1c1a
203053692925700,0,17,117f677ff7fc1c1a
203053692934600,0,17,117f677ff7fc1c1a
203053692940100,0,17,117f677ff7fc1c1a
203053692945800,0,17,117f687ff7fc1c1a
203053692951600,0,17,117f677ff7fc1c1a
203053692957000,0,17,117f677ff7fc1c1a
203053692962800,0,17,117f677ff7fc1c1a
203053692968600,0,17,117f677ff7fc1c1a
203053692976400,0,17,117f677ff7fc1c1a
203053692990200,0,17,117f677ff7fc1c1a
203053692998100,0,17,117f677ff7fc1c1a
203053693003800,0,17,117f677ff7fc1c1a
203053693009200,0,17,117f677ff7fc1c1a
203053693015100,0,17,117f677ff7fc1c1a
203053693020600,0,17,117f677ff7fc1c1a
203053693026100,0,17,117f677ff7fc1c1a
203053693032000,0,17,117f677ff7fc1c1a
203053693037500,0,17,117f677ff7fc1c1a
203053693047400,0,17,117f677ff7fc1c1a
203053693054200,0,17,117f677ff7fd1c1a
203053693059700,0,17,117f677ff7fc1c1a
203053693065100,0,17,117f677ff7fc1c1a
203053693070600,0,17,117f677ff7fc1c1a
203053693076300,0,17,117f677ff7fd1c1a
203053693081800,0,17,117f678007fc1c1a
203053693087200,0,17,117f678007fc1c1a
203053693092800,0,17,117f677fe7fc1c1a
203053693098500,0,17,117f677ff7fc1c1a
203053693106200,0,17,117f677ff7fc1c1a
203053693111800,0,17,117f677ff7fc1c1a
203053693117100,0,17,117f677ff7fc1c1a
203053693123800,0,17,117f678007fc1c1a
203053693132500,0,17,117f677ff7fc1c1a
203053693138200,0,17,117f677ff7fb1c1a
203053693143700,0,17,117f677fe7fc1c1a
203053693149200,0,17,117f677ff7fb1c1a
203053693154800,0,17,117f687ff7fc1c1a
203053693161400,0,17,117f677fe7fc1c1a
203053693166800,0,17,117f677ff7fc1c1a
203053693172400,0,17,117f677fe7fc1c1a
203053693178200,0,17,117f677fe7fc1c1a
203053693185400,0,17,117f677ff7fc1c1a
203053693190700,0,17,117f677ff7fc1c1a
203053693196100,0,17,117f677ff7fd1c1a
203053693201900,0,17,117f677ff7fd1c1a
203053693211200,0,17,117f677ff7fd1c1a
203053693219800,0,17,117f677ff7fd1c1a
203053693228100,0,17,117f678007fd1c1a
203053693253200,0,17,117f677ff7fd1c1a
203053693262300,0,17,117f677ff7fd1c1a
203053693279300,0,17,117f677ff7fd1c1a
203053693286100,0,17,117f677ff7fd1c1a
203053693291600,0,17,117f677fe7fd1c1a
203053693298700,0,17,117f677fe7fd1c1a
203053693304400,0,17,117f677ff7fd1c1a
203053693310100,0,17,117f677ff7fd1c1a
203053693315400,0,17,117f677ff7fd1c1a
203053693321000,0,17,117f677ff7fc1c1a
203053693326800,0,17,117f677ff7fc1c1a
203053693332800,0,17,117f677ff7fc1c1a
203053693338500,0,17,117f677ff7fc1c1a
203053693344300,0,17,117f677ff7fc1c1a
203053693350100,0,17,117f677ff7fc1c1a
203053693355400,0,17,117f677ff7fc1c1a
203053693360900,0,17,117f677ff7fc1c1a
203053693366200,0,17,117f677ff7fc1c1a
203053693371500,0,17,117f677ff7fc1c1a
203053693376700,0,17,117f687ff7fc1c1a
203053693382300,0,17,117f688007fc1c1a
203053693387600,0,17,117f677fe7fc1c1a
203053693392900,0,17,117f677fe7fc1c1a
203053693400100,0,17,117f677fe7fc1c1a
203053693406300,0,17,117f678007fc1c1a
203053693412700,0,17,117f677ff7fc1c1a
203053693418100,0,17,117f677ff7fc1c1a
203053693423500,0,17,117f677fe7fc1c1a
203053693429300,0,17,117f677ff7fc1c1a
203053800759500,0,17,117f677ff7fc1c1a
203053800872600,0,17,117f677ff7fc1c1a
203053800900500,0,17,117f677ff7fc1c1a
203053800913700,0,17,117f677ff7fc1c1a
203053800922400,0,17,117f677ff7fc1c1a
203053800930900,0,17,117f677ff7fc1c1a
203053800949200,0,17,117f677ff7fc1c1a
203053800957400,0,17,117f677ff7fc1c1a
203053800965300,0,17,117f677ff7fd1c1a
203053800970800,0,17,117f677ff7fd1c1a
203053800976500,0,17,117f677ff7fd1c1a
203053800982200,0,17,117f677ff7fc1c1a
203053800989900,0,17,117f677ff7fd1c1a
203053801011300,0,17,117f677ff7fd1c1a
203053801018000,0,17,117f677ff7fd1c1a
203053801023800,0,17,117f687ff7fc1c1a
203053801029200,0,17,117f677ff7fc1c1a
203053801035200,0,17,117f677ff7fc1c1a
203053801043000,0,17,117f677ff7fc1c1a
203053801051300,0,17,117f677ff7fc1c1a
203053801057300,0,17,117f677ff7fc1c1a
203053801062600,0,17,117f677ff7fc1c1a
203053801068000,0,17,117f677ff7fc1c1a
203053801074100,0,17,117f677ff7fb1c1a
203053801079900,0,17,117f677fe7fb1c1a
203053801085100,0,17,117f677ff7fc1c1a
203053801090400,0,17,117f678007fc1c1a
203053801095800,0,17,117f677ff7fc1c1a
203053801101000,0,17,117f677ff7fc1c1a
203053801106300,0,17,117f677ff7fc1c1a
203053801111600,0,17,117f677ff7fc1c1a
203053801117200,0,17,117f677ff7fc1c1a
203053801122800,0,17,117f677ff7fc1c1a
203053801130300,0,17,117f677ff7fc1c1a
203053801139000,0,17,117f677ff7fc1c1a
203053801145100,0,17,117f677ff7fc1c1a
203053801150300,0,17,117f677ff7fc1c1a
203053801155600,0,17,117f677ff7fc1c1a
203053801160800,0,17,117f677ff7fc1c1a
203053801166000,0,17,117f677ff7fc1c1a
203053801171200,0,17,117f677ff7fc1c1a
203053801176500,0,17,117f677ff7fd1c1a
203053801181700,0,17,117f677ff7fc1c1a
203053801187000,0,17,117f677ff7fc1c1a
203053801192400,0,17,117f677ff7fc1c1a
203053801197700,0,17,117f677ff7fd1c1a
203053801202900,0,17,117f677ff7fc1c1a
203053801209200,0,17,117f677ff7fc1c1a
203053801216500,0,17,117f677ff7fc1c1a
203053801222000,0,17,117f677ff7fc1c1a
203053801227300,0,17,117f687ff7fc1c1a
203053801232800,0,17,117f677ff7fc1c1a
203053801238000,0,17,117f677ff7fc1c1a
203053801243400,0,17,117f677ff7fc1c1a
203053801248600,0,17,117f677ff7fc1c1a
203053801253900,0,17,117f677ff7fc1c1a
203053801259100,0,17,117f677ff7fc1c1a
203053801264200,0,17,117f677ff7fc1c1a
203053801269500,0,17,117f677ff7fc1c1a
203053801274700,0,17,117f677ff7fc1c1a
203053801279900,0,17,117f677ff7fc1c1a
203053801285100,0,17,117f677ff7fd1c1a
203053801291000,0,17,117f677ff7fd1c1a
203053801296200,0,17,117f677ff7fd1c1a
203053801301800,0,17,117f677ff7fc1c1a
203053801307200,0,17,117f677ff7fc1c1a
203053801312600,0,17,117f677ff7fc1c1a
203053801317800,0,17,117f677ff7fd1c1a
203053801323100,0,17,117f677ff7fc1c1a
203053801328300,0,17,117f677ff7fc1c1a
203053801333600,0,17,117f677ff7fc1c1a
203053801338900,0,17,117f677ff7fc1c1a
203053801344100,0,17,117f677ff7fc1c1a
203053801349400,0,17,117f677ff7fc1c1a
203053801354700,0,17,117f677ff7fc1c1a
203053801360500,0,17,117f677ff7fc1c1a
203053801365800,0,17,117f677ff7fb1c1a
203053801370900,0,17,117f677ff7fc1c1a
203053801376100,0,17,117f677ff7fc1c1a
203053801382400,0,17,117f677ff7fc1c1a
203053801387700,0,17,117f678007fc1c1a
203053801393000,0,17,117f677fe7fc1c1a
203053801398400,0,17,117f677ff7fc1c1a
203053801403900,0,17,117f677ff7fc1c1a
203053801409300,0,17,117f677ff7fc1c1a
203053801414400,0,17,117f687ff7fc1c1a
203053801419600,0,17,117f677ff7fc1c1a
203053801424900,0,17,117f677ff7fc1c1a
203053801430800,0,17,117f677ff7fc1c1a
203053801436100,0,17,117f677ff7fc1c1a
203053801441400,0,17,117f677ff7fc1c1a
203053801446600,0,17,117f677ff7fc1c1a
203053801452000,0,17,117f677ff7fc1c1a
203053801457200,0,17,117f677ff7fc1c1a
203053801462400,0,17,117f677ff7fc1c1a
203053801467800,0,17,117f677ff7fb1c1a
203053801473100,0,17,117f677ff7fb1c1a
203053801478300,0,17,117f677ff7fc1c1a
203053801483600,0,17,117f677ff7fc1c1a
203053801488800,0,17,117f677ff7fc1c1a
203053801494000,0,17,117f677ff7fc1c1a
203053801499400,0,17,117f677ff7fc1c1a
203053801504700,0,17,117f677ff7fc1c1a
203053801510100,0,17,117f678007fd1c1a
203053801515300,0,17,117f678007fd1c1a
203053801529400,0,17,117f677ff7fc1c1a
203053801547700,0,17,117f677fe7fc1c1a
203053801557900,0,17,117f677ff7fc1c1a
203053910993300,0,17,117f677ff7fc1c1a
203053911066800,0,17,117f677ff7fd1c1a
203053911077400,0,17,117f677ff7fd1c1a
203053911083400,0,17,117f677ff7fd1c1a
