canid,name,channel,pos_rad,vel,tau_nm,err
1,FL_thigh,0,-0.013160906385900617,-0.0329670329670364,0.004884004884004867,0
2,FL_calf,0,0.1741435873960473,0.010989010989007397,0.004884004884004867,0
3,FR_thigh,1,0.028801403830014394,0.010989010989007397,-0.004884004884004867,0
4,FR_calf,1,-0.1623178454261076,-0.010989010989007397,-0.004884004884004867,0
5,RL_thigh,0,-0.09632257572289582,-0.0329670329670364,-0.004884004884004867,0
6,RL_calf,0,0.1577401388570987,0.010989010989007397,0.004884004884004867,0
7,RR_thigh,1,-0.009727626459143934,-0.010989010989007397,0.004884004884004867,0
8,RR_calf,1,-0.0005722133211261138,0.010989010989007397,0.004884004884004867,0
