t_host_mono_ns,kind,channel,can_id
195881177604900,reg_read,0,1
195881236395800,reg_read,0,1
195881345981400,reg_read,0,1
195881455138600,reg_read,0,1
195881563994300,reg_read,0,1
195881673207300,reg_read,0,1
195881782930700,reg_read,0,1
195881892678000,reg_read,0,1
195882001199800,reg_read,0,1
195882109288500,reg_read,0,1
195882219901400,reg_read,0,1
195882327914000,reg_read,0,1
195882436677700,reg_read,0,1
195882545972700,reg_read,0,1
195882653676200,reg_read,0,1
195882763184100,reg_read,0,1
195882874179400,reg_read,0,1
195882982716100,reg_read,0,1
195883091964200,reg_read,0,1
195883201515100,reg_read,0,1
195883309670500,reg_read,0,1
195883419886400,reg_read,0,1
195883530733600,reg_read,0,1
195883639365500,reg_read,0,1
195883747721600,reg_read,0,1
195883856858700,reg_read,0,1
195883966208600,reg_read,0,1
195884076682800,reg_read,0,1
195884185495300,reg_read,0,1
195884293760800,reg_read,0,1
195884402114200,reg_read,0,1
195884511870200,reg_read,0,1
195884621312900,reg_read,0,1
195884730752100,reg_read,0,1
195884839958900,reg_read,0,1
195884950583600,reg_read,0,2
195885063068100,reg_read,0,2
195885170273200,reg_read,0,2
195885278803400,reg_read,0,2
195885388940200,reg_read,0,2
195885497019200,reg_read,0,2
195885604192200,reg_read,0,2
195885715974600,reg_read,0,2
195885823852400,reg_read,0,2
195885933967600,reg_read,0,2
195886044306300,reg_read,0,2
195886154760600,reg_read,0,2
195886264738700,reg_read,0,2
195886373874900,reg_read,0,2
195886483416100,reg_read,0,2
195886592013700,reg_read,0,2
195886702719300,reg_read,0,2
195886813314500,reg_read,0,2
195886921081400,reg_read,0,2
195887030452300,reg_read,0,2
195887139829000,reg_read,0,2
195887249139000,reg_read,0,2
195887358144800,reg_read,0,2
195887466132800,reg_read,0,2
195887575009000,reg_read,0,2
195887684817400,reg_read,0,2
195887794348100,reg_read,0,2
195887903669000,reg_read,0,2
195888013276200,reg_read,0,2
195888123969600,reg_read,0,2
195888232508000,reg_read,0,2
195888342252200,reg_read,0,2
195888451963300,reg_read,0,2
195888561141600,reg_read,0,2
195888671644500,reg_read,0,2
195888781474900,reg_read,1,3
195888892011600,reg_read,1,3
195889001866800,reg_read,1,3
195889112221800,reg_read,1,3
195889220958600,reg_read,1,3
195889329558900,reg_read,1,3
195889438564800,reg_read,1,3
195889548100100,reg_read,1,3
195889658648900,reg_read,1,3
195889768859600,reg_read,1,3
195889877745400,reg_read,1,3
195889986289200,reg_read,1,3
195890094434500,reg_read,1,3
195890203650200,reg_read,1,3
195890311996900,reg_read,1,3
195890419902200,reg_read,1,3
195890528609400,reg_read,1,3
195890638299300,reg_read,1,3
195890749465900,reg_read,1,3
195890858621100,reg_read,1,3
195890966431800,reg_read,1,3
195891073984900,reg_read,1,3
195891182869200,reg_read,1,3
195891294792300,reg_read,1,3
195891403064300,reg_read,1,3
195891511367600,reg_read,1,3
195891621793300,reg_read,1,3
195891731919800,reg_read,1,3
195891841479300,reg_read,1,3
195891950656900,reg_read,1,3
195892060114900,reg_read,1,3
195892170105700,reg_read,1,3
195892279204600,reg_read,1,3
195892389111800,reg_read,1,3
195892497224100,reg_read,1,3
195892609693400,reg_read,1,4
195892718044800,reg_read,1,4
195892828034900,reg_read,1,4
195892937752400,reg_read,1,4
195893048770200,reg_read,1,4
195893156948900,reg_read,1,4
195893268525000,reg_read,1,4
195893376018900,reg_read,1,4
195893485037200,reg_read,1,4
195893594780100,reg_read,1,4
195893704791900,reg_read,1,4
195893813962900,reg_read,1,4
195893922324700,reg_read,1,4
195894030401400,reg_read,1,4
195894138918700,reg_read,1,4
195894247417500,reg_read,1,4
195894355629000,reg_read,1,4
195894462676000,reg_read,1,4
195894571495000,reg_read,1,4
195894680266700,reg_read,1,4
195894788072100,reg_read,1,4
195894898932400,reg_read,1,4
195895009080700,reg_read,1,4
195895117783600,reg_read,1,4
195895227824500,reg_read,1,4
195895335395700,reg_read,1,4
195895444913500,reg_read,1,4
195895554470900,reg_read,1,4
195895663206900,reg_read,1,4
195895770990200,reg_read,1,4
195895881125300,reg_read,1,4
195895990195600,reg_read,1,4
195896100357400,reg_read,1,4
195896207467200,reg_read,1,4
195896331073500,reg_read,1,4
195896438747800,reg_read,0,5
195896548767200,reg_read,0,5
195896657324600,reg_read,0,5
195896767107600,reg_read,0,5
195896875802500,reg_read,0,5
195896984873600,reg_read,0,5
195897092916900,reg_read,0,5
195897201845300,reg_read,0,5
195897311864800,reg_read,0,5
195897421837000,reg_read,0,5
195897531521400,reg_read,0,5
195897639805600,reg_read,0,5
195897749120700,reg_read,0,5
195897857659700,reg_read,0,5
195897967604600,reg_read,0,5
195898076131300,reg_read,0,5
195898186844100,reg_read,0,5
195898296312100,reg_read,0,5
195898405385400,reg_read,0,5
195898515907200,reg_read,0,5
195898625739700,reg_read,0,5
195898735732300,reg_read,0,5
195898844156800,reg_read,0,5
195898956333500,reg_read,0,5
195899061270500,reg_read,0,5
195899169458300,reg_read,0,5
195899278757000,reg_read,0,5
195899385560200,reg_read,0,5
195899493681500,reg_read,0,5
195899601513000,reg_read,0,5
195899710483900,reg_read,0,5
195899821504400,reg_read,0,5
195899932186000,reg_read,0,5
195900039247400,reg_read,0,5
195900147961300,reg_read,0,5
195900256073300,reg_read,0,6
195900367125500,reg_read,0,6
195900475727200,reg_read,0,6
195900585016300,reg_read,0,6
195900696749900,reg_read,0,6
195900805675600,reg_read,0,6
195900914492500,reg_read,0,6
195901023563000,reg_read,0,6
195901134658500,reg_read,0,6
195901243315300,reg_read,0,6
195901352775300,reg_read,0,6
195901460701000,reg_read,0,6
195901568797700,reg_read,0,6
195901678011600,reg_read,0,6
195901788707200,reg_read,0,6
195901896666500,reg_read,0,6
195902005505300,reg_read,0,6
195902116278600,reg_read,0,6
195902224399000,reg_read,0,6
195902333705800,reg_read,0,6
195902442649000,reg_read,0,6
195902554182300,reg_read,0,6
195902664615200,reg_read,0,6
195902772739700,reg_read,0,6
195902879488800,reg_read,0,6
195902988359900,reg_read,0,6
195903098144000,reg_read,0,6
195903208364500,reg_read,0,6
195903318478200,reg_read,0,6
195903426736300,reg_read,0,6
195903537658300,reg_read,0,6
195903646153500,reg_read,0,6
195903754696700,reg_read,0,6
195903865479500,reg_read,0,6
195903973893100,reg_read,0,6
195904083169500,reg_read,1,7
195904191690800,reg_read,1,7
195904303072300,reg_read,1,7
195904413147200,reg_read,1,7
195904523757400,reg_read,1,7
195904632682800,reg_read,1,7
195904743571200,reg_read,1,7
195904853891000,reg_read,1,7
195904961227500,reg_read,1,7
195905071680800,reg_read,1,7
195905182602200,reg_read,1,7
195905291386400,reg_read,1,7
195905401344700,reg_read,1,7
195905511597500,reg_read,1,7
195905620154900,reg_read,1,7
195905728688000,reg_read,1,7
195905838216400,reg_read,1,7
195905946090500,reg_read,1,7
195906055145400,reg_read,1,7
195906162833500,reg_read,1,7
195906272785100,reg_read,1,7
195906383663900,reg_read,1,7
195906492901500,reg_read,1,7
195906600816400,reg_read,1,7
195906709307900,reg_read,1,7
195906820461000,reg_read,1,7
195906929077700,reg_read,1,7
195907039359800,reg_read,1,7
195907147337200,reg_read,1,7
195907257790900,reg_read,1,7
195907363977000,reg_read,1,7
195907473629700,reg_read,1,7
195907583949200,reg_read,1,7
195907694939800,reg_read,1,7
195907804074300,reg_read,1,7
195907915539400,reg_read,1,8
195908025454600,reg_read,1,8
195908134479600,reg_read,1,8
195908247671300,reg_read,1,8
195908357759600,reg_read,1,8
195908465123500,reg_read,1,8
195908575911300,reg_read,1,8
195908685489000,reg_read,1,8
195908796843800,reg_read,1,8
195908905643600,reg_read,1,8
195909014733800,reg_read,1,8
195909125543300,reg_read,1,8
195909234380800,reg_read,1,8
195909343039900,reg_read,1,8
195909453304900,reg_read,1,8
195909561752400,reg_read,1,8
195909670631000,reg_read,1,8
195909780000600,reg_read,1,8
195909889057100,reg_read,1,8
195909997752900,reg_read,1,8
195910106349200,reg_read,1,8
195910215703100,reg_read,1,8
195910325836700,reg_read,1,8
195910436186700,reg_read,1,8
195910547514000,reg_read,1,8
195910655045500,reg_read,1,8
195910764720100,reg_read,1,8
195910874083700,reg_read,1,8
195910982633200,reg_read,1,8
195911093476500,reg_read,1,8
195911202894800,reg_read,1,8
195911312412900,reg_read,1,8
195911421556100,reg_read,1,8
195911529974200,reg_read,1,8
195911639375900,reg_read,1,8
195911748244200,refresh,0,1
195911848294600,refresh,0,1
195911872292100,refresh,0,1
195911872443500,refresh,0,1
195911972444500,refresh,0,1
195911994544000,refresh,0,1
195911994789600,refresh,0,1
195912094790400,refresh,0,1
195912120813100,refresh,0,1
195912121028700,refresh,0,1
195912221029500,refresh,0,1
195912247062800,refresh,0,1
195912247206000,refresh,0,1
195912347206800,refresh,0,1
195912373112900,refresh,0,1
195912473113700,refresh,0,1
195912498537800,refresh,0,1
195912498781700,refresh,0,1
195912598782600,refresh,0,1
195912622864400,refresh,0,1
195912623080400,refresh,0,1
195912723081300,refresh,0,1
195912749545300,refresh,0,1
195912849546100,refresh,0,1
195912874458900,refresh,0,1
195912874799000,refresh,0,1
