name,sim_to_motor,ok,pos_rad,sim_off,vel,tau,err,age
FL_thigh,-1.0,True,-0.19932097352559808,0.19932097352559808,-0.010989010989007397,-0.024420024420024333,1,0.00016170000890269876
FL_calf,1.0,True,0.1077668421454181,0.1077668421454181,-0.010989010989007397,-0.024420024420024333,1,6.699992809444666e-06
FR_thigh,1.0,True,-0.20313572899977217,-0.20313572899977217,-0.010989010989007397,-0.024420024420024333,1,5.499983672052622e-06
FR_calf,-1.0,True,0.06542305638208568,-0.06542305638208568,-0.010989010989007397,-0.03418803418803407,1,5.499983672052622e-06
RL_thigh,-1.0,True,0.20199130235751817,-0.20199130235751817,-0.010989010989007397,-0.024420024420024333,1,5.199981387704611e-06
RL_calf,1.0,True,-0.08335240711070391,-0.08335240711070391,-0.010989010989007397,-0.024420024420024333,1,1.0699965059757233e-05
RR_thigh,1.0,True,0.21076523994811858,0.21076523994811858,0.010989010989007397,-0.024420024420024333,1,1.0700023267418146e-05
RR_calf,-1.0,True,-0.09288929579613914,0.09288929579613914,-0.010989010989007397,-0.024420024420024333,1,6.480002775788307e-05
