name,cmd,actual,ratio,sim_to_motor
FL_thigh,0.05,0.034769376838500066,0.6953875367700013,-1.0
FL_calf,0.05,0.04437154022871563,0.8874308045743126,1.0
FR_thigh,0.05,0.04925781812941504,0.9851563625883009,1.0
FR_calf,0.05,0.04220899773657827,0.8441799547315654,-1.0
RL_thigh,0.05,0.049210345616845785,0.9842069123369157,-1.0
RL_calf,0.05,0.04070598407975367,0.8141196815950733,1.0
RR_thigh,0.05,0.03043722749223618,0.6087445498447236,1.0
RR_calf,0.05,0.045091257428176476,0.9018251485635295,-1.0
