t,target_sim,sim_off,sim_vel,tau,err
2.00001522898674e-07,0.23174650815427456,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.001000199990812689,0.23231198644918297,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.0020001999801024795,0.2328774145049946,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.00300019996939227,0.2334427420971213,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.00400019995868206,0.23400791900989856,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.005000199947971851,0.23457289504104617,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.006000199937261641,0.23513762000612742,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.007000199926551431,0.23570204374300663,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.008000199915841222,0.23626611611630505,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.009000199905131012,0.23682978702185403,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.010000199894420803,0.23739300639114558,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.011000199883710593,0.23795572419577984,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.012000199873000383,0.23851789045190874,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.013000199862290174,0.239079455224676,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.014000199851579964,0.23964036863265256,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.015000199840869755,0.2402005808522673,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.016000199830159545,0.2407600421222328,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.017000199819449335,0.24131870274796519,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.018000199808739126,0.24187651310599856,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.019000199798028916,0.24243342364839265,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.020000199787318707,0.24298938490713404,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.021000199776608497,0.24354434749853013,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.022000199765898287,0.2440982621275958,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.023000199755188078,0.24465107959243196,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.024000199744477868,0.24520275078859596,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.02500019973376766,0.2457532267134634,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.02600019972305745,0.24630245847058077,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.02700019971234724,0.24685039727400876,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.02800019970163703,0.24739699445265562,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.02900019969092682,0.2479422014546005,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.03000019968021661,0.2484859698514061,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.0310001996695064,0.24902825134242035,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.03200019965879619,0.2495689977590667,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.03300019964808598,0.2501081610691228,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.03400019963737577,0.25064569338098697,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.03500019962666556,0.25118154694793227,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.03600019961595535,0.25171567417234747,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.03700019960524514,0.25224802760996523,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.038000199594534934,0.25277855997407606,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.039000199583824724,0.2533072241397288,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.040000199573114514,0.25383397314791645,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.041000199562404305,0.2543587602097474,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.042000199551694095,0.2548815387106015,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.043000199540983886,0.2554022622142705,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.044000199530273676,0.2559208844670829,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.045000199519563466,0.25643735940201245,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.04600019950885326,0.2569516411427702,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.04700019949814305,0.25746368400787917,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.04800019948743284,0.2579734425147325,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.04900019947672263,0.25848087138363296,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05000019946601242,0.2589859255418155,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05100019945530221,0.25948856012745036,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.052000199444592,0.2599887304936284,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05300019943388179,0.26048639221232667,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05400019942317158,0.2609815010783546,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05500019941246137,0.26147401311328095,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05600019940175116,0.26196388456933994,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05700019939104095,0.2624510719333173,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05800019938033074,0.2629355319304153,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.05900019936962053,0.26341722152809677,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.06000019935891032,0.26389609793990737,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.06100019934820011,0.2643721186292762,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.0620001993374899,0.26484524131329407,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.0630001993267797,0.2653154239664695,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.06400019931606948,0.2657826248244615,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
0.06500019930535927,0.26624680238778936,0.23174639505607786,0.010989010989007397,-0.024420024420024333,1
