t,q_cmd,q_real,dq_real,tau,err
0.96701150003355,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9688225000281818,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9725985000259243,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9760602000169456,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.978825300000608,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9805458000046201,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9818691000109538,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9835427000070922,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9849863999988884,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9866033000289463,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9881027000374161,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9897340000024997,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9913578000268899,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9931524000130594,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.994881400023587,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9965574000380002,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9982226000283845,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
0.9998814000282437,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.001502100029029,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0031206000130624,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0046774000511505,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0062932000146247,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0088520999997854,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0105482000508346,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0121439000358805,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0137741000507958,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0152772000292316,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0168708999990486,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0185239000129513,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0201689000241458,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0217793000047095,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0234727000351995,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.025000000023283,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0266702000517398,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.028280500031542,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0299098000396043,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
1.0310095000313595,0.01201647974364839,0.01201647974364839,-0.010989010989007397,-0.0439560439560438,1
