t,pos,vel
0.0,0.18558785381856957,-0.010989010989007397
0.005,0.18558785381856957,-0.010989010989007397
0.01,0.18558785381856957,-0.010989010989007397
0.015,0.18558785381856957,-0.010989010989007397
0.02,0.18558785381856957,-0.010989010989007397
0.025,0.18558785381856957,-0.010989010989007397
0.03,0.18558785381856957,-0.010989010989007397
0.035,0.18558785381856957,-0.010989010989007397
0.04,0.18558785381856957,-0.010989010989007397
0.045,0.18558785381856957,-0.010989010989007397
0.05,0.18558785381856957,-0.010989010989007397
0.055,0.18558785381856957,-0.010989010989007397
0.06,0.18558785381856957,-0.010989010989007397
0.065,0.18558785381856957,-0.010989010989007397
0.07,0.18558785381856957,-0.010989010989007397
0.075,0.18558785381856957,-0.010989010989007397
0.08,0.18558785381856957,-0.010989010989007397
0.085,0.18558785381856957,-0.010989010989007397
0.09,0.18558785381856957,-0.010989010989007397
0.095,0.18558785381856957,-0.010989010989007397
0.1,0.18558785381856957,-0.010989010989007397
0.105,0.18558785381856957,-0.0329670329670364
0.11,0.18558785381856957,0.010989010989007397
0.115,0.18558785381856957,-0.010989010989007397
0.12,0.18520637827115216,-0.0329670329670364
0.125,0.18520637827115216,-0.0329670329670364
0.13,0.18520637827115216,-0.0329670329670364
0.135,0.18520637827115216,-0.0329670329670364
0.14,0.18520637827115216,-0.0329670329670364
0.145,0.18520637827115216,-0.0329670329670364
0.15,0.18520637827115216,-0.0329670329670364
0.155,0.18520637827115216,-0.0329670329670364
0.16,0.18520637827115216,-0.0329670329670364
0.165,0.18520637827115216,-0.0329670329670364
0.17,0.18520637827115216,-0.0329670329670364
0.17500000000000002,0.18520637827115216,-0.0329670329670364
0.18,0.18520637827115216,-0.0329670329670364
0.185,0.18520637827115216,-0.0329670329670364
0.19,0.18520637827115216,-0.0329670329670364
0.195,0.18520637827115216,-0.0329670329670364
0.2,0.18520637827115216,-0.0329670329670364
0.20500000000000002,0.18520637827115216,-0.0329670329670364
0.21,0.18520637827115216,-0.0329670329670364
0.215,0.18520637827115216,-0.0329670329670364
0.22,0.18520637827115216,-0.0329670329670364
0.225,0.18520637827115216,-0.0329670329670364
0.23,0.18520637827115216,-0.0329670329670364
0.23500000000000001,0.18558785381856957,-0.010989010989007397
0.24,0.18558785381856957,0.010989010989007397
0.245,0.18558785381856957,-0.010989010989007397
0.25,0.18558785381856957,-0.010989010989007397
0.255,0.18558785381856957,-0.010989010989007397
0.26,0.18558785381856957,-0.010989010989007397
0.265,0.18558785381856957,-0.010989010989007397
0.27,0.18558785381856957,-0.010989010989007397
0.275,0.18558785381856957,-0.010989010989007397
0.28,0.18558785381856957,-0.010989010989007397
0.28500000000000003,0.18558785381856957,-0.010989010989007397
0.29,0.18558785381856957,-0.010989010989007397
0.295,0.18558785381856957,-0.010989010989007397
0.3,0.18558785381856957,-0.010989010989007397
0.305,0.18558785381856957,-0.010989010989007397
0.31,0.18558785381856957,-0.010989010989007397
0.315,0.18558785381856957,-0.010989010989007397
0.32,0.18558785381856957,-0.010989010989007397
0.325,0.18558785381856957,-0.010989010989007397
0.33,0.18558785381856957,-0.010989010989007397
0.335,0.18558785381856957,-0.010989010989007397
0.34,0.18558785381856957,-0.010989010989007397
0.34500000000000003,0.18558785381856957,-0.010989010989007397
0.35000000000000003,0.18558785381856957,-0.010989010989007397
0.355,0.18558785381856957,-0.010989010989007397
0.36,0.18558785381856957,-0.010989010989007397
0.365,0.18558785381856957,0.010989010989007397
0.37,0.18558785381856957,-0.010989010989007397
0.375,0.18558785381856957,-0.010989010989007397
0.38,0.18558785381856957,-0.010989010989007397
0.385,0.18558785381856957,-0.010989010989007397
0.39,0.18558785381856957,-0.010989010989007397
0.395,0.18558785381856957,-0.010989010989007397
0.4,0.18558785381856957,-0.010989010989007397
0.405,0.18558785381856957,-0.010989010989007397
0.41000000000000003,0.18558785381856957,-0.010989010989007397
0.41500000000000004,0.18558785381856957,-0.010989010989007397
0.42,0.18558785381856957,-0.010989010989007397
0.425,0.18558785381856957,-0.010989010989007397
0.43,0.18558785381856957,-0.010989010989007397
0.435,0.18558785381856957,-0.010989010989007397
0.44,0.18558785381856957,-0.010989010989007397
0.445,0.18558785381856957,-0.010989010989007397
0.45,0.18558785381856957,-0.010989010989007397
0.455,0.18558785381856957,-0.010989010989007397
0.46,0.18558785381856957,-0.010989010989007397
0.465,0.18558785381856957,-0.010989010989007397
0.47000000000000003,0.18558785381856957,-0.010989010989007397
0.47500000000000003,0.18558785381856957,-0.010989010989007397
0.48,0.18558785381856957,-0.010989010989007397
0.485,0.18558785381856957,-0.010989010989007397
0.49,0.18558785381856957,-0.010989010989007397
0.495,0.18558785381856957,-0.010989010989007397
0.5,0.18558785381856957,-0.010989010989007397
0.505,0.18558785381856957,-0.010989010989007397
0.51,0.18558785381856957,-0.010989010989007397
0.515,0.18558785381856957,-0.010989010989007397
0.52,0.18558785381856957,-0.010989010989007397
0.525,0.18558785381856957,-0.010989010989007397
0.53,0.18558785381856957,-0.010989010989007397
0.535,0.18558785381856957,-0.010989010989007397
0.54,0.18558785381856957,-0.010989010989007397
0.545,0.18558785381856957,-0.010989010989007397
0.55,0.18558785381856957,-0.010989010989007397
0.555,0.18558785381856957,-0.010989010989007397
0.56,0.18558785381856957,-0.010989010989007397
0.5650000000000001,0.18558785381856957,-0.010989010989007397
0.5700000000000001,0.18558785381856957,-0.010989010989007397
0.5750000000000001,0.18558785381856957,-0.010989010989007397
0.58,0.18558785381856957,-0.010989010989007397
0.585,0.18558785381856957,-0.010989010989007397
0.59,0.18558785381856957,-0.010989010989007397
0.595,0.18558785381856957,-0.010989010989007397
0.6,0.18558785381856957,-0.010989010989007397
0.605,0.18558785381856957,-0.010989010989007397
0.61,0.18558785381856957,-0.010989010989007397
0.615,0.18558785381856957,-0.010989010989007397
0.62,0.18558785381856957,-0.010989010989007397
0.625,0.18558785381856957,-0.010989010989007397
0.63,0.18558785381856957,-0.010989010989007397
0.635,0.18558785381856957,-0.010989010989007397
0.64,0.18558785381856957,-0.010989010989007397
0.645,0.18558785381856957,-0.010989010989007397
0.65,0.18558785381856957,-0.010989010989007397
0.655,0.18558785381856957,-0.010989010989007397
0.66,0.18558785381856957,-0.010989010989007397
0.665,0.18558785381856957,-0.010989010989007397
0.67,0.18558785381856957,-0.010989010989007397
0.675,0.18558785381856957,-0.010989010989007397
0.68,0.18558785381856957,-0.010989010989007397
0.685,0.18558785381856957,-0.010989010989007397
0.6900000000000001,0.18558785381856957,-0.010989010989007397
0.6950000000000001,0.18558785381856957,-0.010989010989007397
0.7000000000000001,0.18558785381856957,-0.010989010989007397
0.705,0.18558785381856957,-0.010989010989007397
0.71,0.18558785381856957,-0.010989010989007397
0.715,0.18558785381856957,-0.010989010989007397
0.72,0.18558785381856957,-0.010989010989007397
0.725,0.18558785381856957,-0.010989010989007397
0.73,0.18558785381856957,-0.0329670329670364
0.735,0.18558785381856957,-0.010989010989007397
0.74,0.18558785381856957,0.010989010989007397
0.745,0.18558785381856957,0.010989010989007397
0.75,0.18558785381856957,0.010989010989007397
