kp,err_st,tau_st,kp_static
20,0.016048676279850543,-0.3615987516402477,-22.531375506292857
28,0.014166624720185428,-0.4516995222389433,-31.88476656654394
40,0.008036106897996137,-0.37517669052938984,-46.68637379910202
60,0.003459983215076068,-0.27855040303172984,-80.50628737677442
100,0.0001897405554728837,-0.10300994533359642,-542.8989341623269
