kp,err_st,tau_st,kp_static
20,0.014521191204090317,-0.3285658555368123,-22.626646183424825
28,0.011714734168525698,-0.3701508265823641,-31.59703167459477
40,0.00727948734751499,-0.3382933341439589,-46.47213711545808
60,0.0034789778481407463,-0.2873456649390249,-82.59485328214714
100,0.0007896543831524272,-0.15679479579894462,-198.5612935788371
