t_host_mono_ns,kind,channel,can_id
196391218440900,mit_zero,1,7
196391219549900,mit_zero,1,8
196391220681700,mit_zero,0,1
196391221301900,mit_zero,0,2
196391222308700,mit_zero,1,3
196391223317500,mit_zero,1,4
196391224438000,mit_zero,0,5
196391225489100,mit_zero,0,6
196391226627700,mit_zero,1,7
196391227209800,mit_zero,1,8
196391228230500,mit_zero,0,1
196391229331800,mit_zero,0,2
196391230360200,mit_zero,1,3
196391231563800,mit_zero,1,4
196391232517900,mit_zero,0,5
196391233648000,mit_zero,0,6
196391234632100,mit_zero,1,7
196391235132600,mit_zero,1,8
196391236166000,mit_zero,0,1
196391237285400,mit_zero,0,2
196391238340000,mit_zero,1,3
196391239467800,mit_zero,1,4
196391240592500,mit_zero,0,5
196391241761800,mit_zero,0,6
196391242429400,mit_zero,1,7
196391243431600,mit_zero,1,8
196391244497900,mit_zero,0,1
196391245592700,mit_zero,0,2
196391246697200,mit_zero,1,3
196391247314600,mit_zero,1,4
196391248315200,mit_zero,0,5
196391249386400,mit_zero,0,6
196391250464200,mit_zero,1,7
196391251520900,mit_zero,1,8
196391252727800,mit_zero,0,1
196391253338500,mit_zero,0,2
196391254368800,mit_zero,1,3
196391255469300,mit_zero,1,4
196391256658400,mit_zero,0,5
196391257834800,mit_zero,0,6
196391258757500,mit_zero,1,7
196391259364900,mit_zero,1,8
196391260352200,mit_zero,0,1
196391261416000,mit_zero,0,2
196391262419300,mit_zero,1,3
196391263480800,mit_zero,1,4
196391264539400,mit_zero,0,5
196391265654600,mit_zero,0,6
196391266289800,mit_zero,1,7
196391267293000,mit_zero,1,8
196391268347600,mit_zero,0,1
196391269404200,mit_zero,0,2
196391270579800,mit_zero,1,3
196391271635000,mit_zero,1,4
196391272727900,mit_zero,0,5
196391273353700,mit_zero,0,6
196391274890400,mit_zero,1,7
196391275394100,mit_zero,1,8
196391276457000,mit_zero,0,1
196391277479900,mit_zero,0,2
196391278493700,mit_zero,1,3
196391279504700,mit_zero,1,4
196391280516700,mit_zero,0,5
196391281687400,mit_zero,0,6
196391282552900,mit_zero,1,7
196391283596200,mit_zero,1,8
196391284083200,mit_zero,0,1
196391285093900,mit_zero,0,2
196391286111700,mit_zero,1,3
196391287126300,mit_zero,1,4
196391288276000,mit_zero,0,5
196391289368400,mit_zero,0,6
196391291294100,mit_zero,1,7
196391291446300,mit_zero,1,8
196391293396400,mit_zero,0,1
196391293541000,mit_zero,0,2
196391294274500,mit_zero,1,3
196391295161300,mit_zero,1,4
196391296313000,mit_zero,0,5
196391297258400,mit_zero,0,6
196391298262300,mit_zero,1,7
196391299269100,mit_zero,1,8
196391300271500,mit_zero,0,1
196391301334100,mit_zero,0,2
196391302576200,mit_zero,1,3
196391303713700,mit_zero,1,4
196391304298500,mit_zero,0,5
196391305605000,mit_zero,0,6
196391306820800,mit_zero,1,7
196391307437900,mit_zero,1,8
196391308438800,mit_zero,0,1
196391309519200,mit_zero,0,2
196391310639300,mit_zero,1,3
196391311220600,mit_zero,1,4
196391312677500,mit_zero,0,5
196391314069600,mit_zero,0,6
196391314173600,mit_zero,1,7
196391315306700,mit_zero,1,8
196391316302200,mit_zero,0,1
196391317338800,mit_zero,0,2
196391318455100,mit_zero,1,3
196391319424600,mit_zero,1,4
196391320549100,mit_zero,0,5
196391321389100,mit_zero,0,6
196391322382000,mit_zero,1,7
196391323456200,mit_zero,1,8
196391324520100,mit_zero,0,1
196391325604600,mit_zero,0,2
196391326104100,mit_zero,1,3
196391327111100,mit_zero,1,4
196391328194300,mit_zero,0,5
196391329914800,mit_zero,0,6
196391330619600,mit_zero,1,7
196391331190000,mit_zero,1,8
196391332196800,mit_zero,0,1
196391333567900,mit_zero,0,2
196391334208800,mit_zero,1,3
196391335294600,mit_zero,1,4
196391336426400,mit_zero,0,5
196391337355800,mit_zero,0,6
196391338357000,mit_zero,1,7
196391339414200,mit_zero,1,8
196391340497600,mit_zero,0,1
196391341595800,mit_zero,0,2
196391342893300,mit_zero,1,3
196391343537200,mit_zero,1,4
196391344559500,mit_zero,0,5
196391345634800,mit_zero,0,6
196391346783300,mit_zero,1,7
196391347399700,mit_zero,1,8
196391348402500,mit_zero,0,1
196391349527500,mit_zero,0,2
196391350554800,mit_zero,1,3
196391351726900,mit_zero,1,4
196391352357500,mit_zero,0,5
196391353246100,mit_zero,0,6
196391354324000,mit_zero,1,7
196391355436700,mit_zero,1,8
196391356565900,mit_zero,0,1
196391357704600,mit_zero,0,2
196391358321000,mit_zero,1,3
196391359322800,mit_zero,1,4
196391360375700,mit_zero,0,5
196391361428300,mit_zero,0,6
196391362485900,mit_zero,1,7
196391363535900,mit_zero,1,8
196391364624600,mit_zero,0,1
196391365743100,mit_zero,0,2
196391366318100,mit_zero,1,3
196391367626200,mit_zero,1,4
196391368999700,mit_zero,0,5
196391369073400,mit_zero,0,6
196391370695000,mit_zero,1,7
196391371358800,mit_zero,1,8
196391372360200,mit_zero,0,1
196391373450800,mit_zero,0,2
196391374617700,mit_zero,1,3
196391375211200,mit_zero,1,4
196391376292100,mit_zero,0,5
196391377300100,mit_zero,0,6
196391378432500,mit_zero,1,7
196391379467900,mit_zero,1,8
196391380518800,mit_zero,0,1
196391381631800,mit_zero,0,2
196391382665900,mit_zero,1,3
196391383749400,mit_zero,1,4
196391384347000,mit_zero,0,5
196391385347800,mit_zero,0,6
196391386406500,mit_zero,1,7
196391387468000,mit_zero,1,8
196391388527800,mit_zero,0,1
196391389629200,mit_zero,0,2
196391390206700,mit_zero,1,3
196391391228400,mit_zero,1,4
196391392285500,mit_zero,0,5
196391393426800,mit_zero,0,6
196391394362600,mit_zero,1,7
196391395476500,mit_zero,1,8
196391396475100,mit_zero,0,1
196391397540400,mit_zero,0,2
196391398757900,mit_zero,1,3
196391399472600,mit_zero,1,4
196391400472900,mit_zero,0,5
196391401639600,mit_zero,0,6
196391402554000,mit_zero,1,7
196391403675100,mit_zero,1,8
196391404689500,mit_zero,0,1
196391405368400,mit_zero,0,2
196391406363400,mit_zero,1,3
196391407430000,mit_zero,1,4
196391408472300,mit_zero,0,5
196391409433700,mit_zero,0,6
196391410522900,mit_zero,1,7
196391411654200,mit_zero,1,8
196391412548400,mit_zero,0,1
196391413143900,mit_zero,0,2
196391414260400,mit_zero,1,3
196391415655300,mit_zero,1,4
196391416315000,mit_zero,0,5
196391417288400,mit_zero,0,6
196391418337800,mit_zero,1,7
196391419479900,mit_zero,1,8
196391420456600,mit_zero,0,1
196391421656700,mit_zero,0,2
196391422548100,mit_zero,1,3
196391423763800,mit_zero,1,4
196391424370300,mit_zero,0,5
196391425375500,mit_zero,0,6
196391426416900,mit_zero,1,7
196391427479700,mit_zero,1,8
196391428567300,mit_zero,0,1
196391429702600,mit_zero,0,2
196391430578300,mit_zero,1,3
196391431164700,mit_zero,1,4
196391432172400,mit_zero,0,5
196391433318300,mit_zero,0,6
196391434418900,mit_zero,1,7
196391435596300,mit_zero,1,8
196391436182900,mit_zero,0,1
196391437195200,mit_zero,0,2
196391438270500,mit_zero,1,3
196391439257900,mit_zero,1,4
196391440260500,mit_zero,0,5
196391441437100,mit_zero,0,6
196391442429800,mit_zero,1,7
196391443503200,mit_zero,1,8
196391444482600,mit_zero,0,1
196391445565200,mit_zero,0,2
196391446707200,mit_zero,1,3
196391447313100,mit_zero,1,4
196391448315600,mit_zero,0,5
196391449317600,mit_zero,0,6
196391450319600,mit_zero,1,7
196391451475200,mit_zero,1,8
196391452464700,mit_zero,0,1
196391453733500,mit_zero,0,2
196391454348000,mit_zero,1,3
196391455376600,mit_zero,1,4
196391456636900,mit_zero,0,5
196391457219900,mit_zero,0,6
196391458227300,mit_zero,1,7
196391459369500,mit_zero,1,8
196391460357300,mit_zero,0,1
196391461680600,mit_zero,0,2
196391462440400,mit_zero,1,3
196391463468900,mit_zero,1,4
196391464587500,mit_zero,0,5
196391465573100,mit_zero,0,6
196391466611800,mit_zero,1,7
196391467756900,mit_zero,1,8
196391468373200,mit_zero,0,1
196391469393000,mit_zero,0,2
196391470428000,mit_zero,1,3
196391471409800,mit_zero,1,4
196391472422200,mit_zero,0,5
196391473430500,mit_zero,0,6
196391474436300,mit_zero,1,7
196391475558200,mit_zero,1,8
196391476579600,mit_zero,0,1
196391477745000,mit_zero,0,2
196391478375200,mit_zero,1,3
196391479405300,mit_zero,1,4
196391480535600,mit_zero,0,5
196391481608000,mit_zero,0,6
196391482189500,mit_zero,1,7
196391483190400,mit_zero,1,8
196391484277500,mit_zero,0,1
196391485318400,mit_zero,0,2
196391486346400,mit_zero,1,3
196391487350100,mit_zero,1,4
196391488350700,mit_zero,0,5
196391489386700,mit_zero,0,6
196391490442200,mit_zero,1,7
196391491540200,mit_zero,1,8
196391492665200,mit_zero,0,1
196391493468100,mit_zero,0,2
196391494337300,mit_zero,1,3
196391495428300,mit_zero,1,4
196391496429100,mit_zero,0,5
196391497562300,mit_zero,0,6
196391498715200,mit_zero,1,7
196391499301400,mit_zero,1,8
196391500339600,mit_zero,0,1
196391501430100,mit_zero,0,2
196391502742100,mit_zero,1,3
196391503355900,mit_zero,1,4
196391504384200,mit_zero,0,5
196391505441000,mit_zero,0,6
196391506542000,mit_zero,1,7
196391507671300,mit_zero,1,8
196391508695200,mit_zero,0,1
196391509155800,mit_zero,0,2
196391510157700,mit_zero,1,3
196391511211700,mit_zero,1,4
196391512270600,mit_zero,0,5
196391513497800,mit_zero,0,6
196391514519600,mit_zero,1,7
196391515580900,mit_zero,1,8
196391516168700,mit_zero,0,1
196391517174400,mit_zero,0,2
196391518204000,mit_zero,1,3
196391519289300,mit_zero,1,4
196391520399100,mit_zero,0,5
196391521399600,mit_zero,0,6
196391522467400,mit_zero,1,7
196391523508000,mit_zero,1,8
196391524617900,mit_zero,0,1
