t_host_mono_ns,pose,reg,x,y,z,age_s
201122725824500,五次调平,1,-0.027982521802186966,0.07923124730587006,9.831356048583984,0.0008369999995920807
201122725827600,五次调平,2,-0.010771507397294044,0.013747946359217167,0.005090361461043358,0.0008209999941755086
201122725828800,五次调平,3,0.6685221195220947,0.12629806995391846,100.84986114501953,0.0008028000011108816
201122727414600,五次调平,1,-0.03561314567923546,0.10770325362682343,9.781206130981445,0.0010674000077415258
201122727415800,五次调平,2,-0.008640979416668415,0.010552153922617435,0.0029598327819257975,0.0010477000032551587
201122727416300,五次调平,3,0.6678791046142578,0.12780308723449707,100.85001373291016,0.0010279999987687916
201122728785700,五次调平,1,-0.035748887807130814,0.12197822332382202,9.773941040039062,0.0009594000002834946
201122728786700,五次调平,2,-0.00011886470019817352,0.008421625010669231,0.000829304161015898,0.0009394999942742288
201122728787200,五次调平,3,0.6680266857147217,0.12918627262115479,100.85013580322266,0.0009194999875035137
201122730285900,五次调平,1,-0.0212116576731205,0.13639548420906067,9.830781936645508,0.0008632999961264431
201122730286500,五次调平,2,0.006272721569985151,-0.012883661314845085,-0.0034317532554268837,0.0008415000047534704
201122730286800,五次调平,3,0.6699254512786865,0.1296609491109848,100.85014343261719,0.00082230000407435
201122731791000,五次调平,1,-0.035250891000032425,0.0934959277510643,9.824115753173828,0.0008525000012014061
201122731791600,五次调平,2,-0.0011841291561722755,-0.011818397790193558,-0.0034317532554268837,0.000833400001283735
201122731792000,五次调平,3,0.6696714162826538,0.12936176359653473,100.84967803955078,0.0008145000028889626
201122733303100,五次调平,1,-0.03534157574176788,0.08631110191345215,9.802797317504883,0.0009324999991804361
201122733304100,五次调平,2,-0.00011886470019817352,-0.003296283073723316,0.001894568558782339,0.0009142000053543597
201122733304900,五次调平,3,0.6690588593482971,0.13005894422531128,100.84977722167969,0.000895500008482486
201122734806500,五次调平,1,-0.035748809576034546,0.12913599610328674,9.781000137329102,0.0008582999871578068
201122734807400,五次调平,2,0.002011663746088743,0.010552153922617435,0.007220889907330275,0.0008392000163439661
201122734807800,五次调平,3,0.6695599555969238,0.13273455202579498,100.85062408447266,0.0008196000126190484
201122736315500,五次调平,1,-0.04292665421962738,0.1362699717283249,9.78095817565918,0.0009389999904669821
201122736316100,五次调平,2,-0.0011841291561722755,0.014813210815191269,0.001894568558782339,0.0009194999875035137
201122736316500,五次调平,3,0.6699393391609192,0.1346149891614914,100.8508529663086,0.0009000999853014946
201122737820900,五次调平,1,-0.014350757002830505,0.14348237216472626,9.795045852661133,0.0008572000078856945
201122737821700,五次调平,2,-0.005445186514407396,0.009486889466643333,-0.0076928106136620045,0.000839299988001585
201122737822100,五次调平,3,0.6705003976821899,0.13731060922145844,100.8504638671875,0.0008208999934140593
201122739327000,五次调平,1,0.028263971209526062,0.1578054577112198,9.780498504638672,0.0008098000253085047
201122739328100,五次调平,2,-0.005445186514407396,0.009486889466643333,-0.0066275461576879025,0.0007847000088077039
201122739328600,五次调平,3,0.6710850596427917,0.13738159835338593,100.85010528564453,0.0007652000058442354
201122740855900,五次调平,1,-0.00017593801021575928,0.157791405916214,9.794857025146484,0.0009071000094991177
201122740859000,五次调平,2,-0.002249393379315734,0.015878476202487946,-0.0013012245763093233,0.0008916000078897923
201122740861400,五次调平,3,0.6725109219551086,0.13883662223815918,100.84976959228516,0.0008744999940972775
201122742380400,五次调平,1,-0.014215178787708282,0.11489185690879822,9.788190841674805,0.000970599998254329
201122742381000,五次调平,2,-0.00011886470019817352,0.013747946359217167,0.001894568558782339,0.0009515999990981072
201122742381300,五次调平,3,0.6724920272827148,0.14003026485443115,100.84989929199219,0.0009320999961346388
201122743932400,五次调平,1,-0.021302830427885056,0.08626401424407959,9.76710319519043,0.0009283000254072249
201122743933200,五次调平,2,-0.008640979416668415,0.002030038507655263,0.0029598327819257975,0.000904199987417087
201122743933600,五次调平,3,0.6707155108451843,0.14154674112796783,100.85016632080078,0.0008840000082273036
201122745411500,五次调平,1,-0.021348129957914352,0.08625048398971558,9.75997543334961,0.0009385000157635659
201122745412200,五次调平,2,-0.007575714960694313,-0.004361547529697418,-0.0002359601785428822,0.0009169999975711107
201122745412900,五次调平,3,0.6696808934211731,0.14184904098510742,100.85009765625,0.0008972999930847436
201122746919300,五次调平,1,-0.013989321887493134,0.05769730359315872,9.767353057861328,0.0008730000117793679
201122746919900,五次调平,2,0.007337986025959253,-0.004361547529697418,0.005090361461043358,0.0008548999903723598
201122746920300,五次调平,3,0.6679982542991638,0.14241009950637817,100.85030364990234,0.000836199993500486
201122748425600,五次调平,1,0.007499337196350098,0.07207073271274567,9.795654296875,0.0009305000130552799
201122748426300,五次调平,2,0.008403249084949493,0.004160567186772823,0.007220889907330275,0.0009119000169448555
201122748429800,五次调平,3,0.6675817966461182,0.14258351922035217,100.85060119628906,0.0008963000145740807
201122749934600,五次调平,1,0.028807029128074646,0.10786336660385132,9.816619873046875,0.0008786999969743192
201122749936100,五次调平,2,0.012664306908845901,0.008421625010669231,0.009351419284939766,0.0008608000061940402
201122749936500,五次调平,3,0.6681855916976929,0.14278970658779144,100.85133361816406,0.0008417000062763691
201122751434700,五次调平,1,0.02158370614051819,0.10066826641559601,9.795328140258789,0.0009477999992668629
201122751435300,五次调平,2,0.012664306908845901,-0.004361547529697418,0.008286154828965664,0.0009258000063709915
201122751435900,五次调平,3,0.6686113476753235,0.14217910170555115,100.85160827636719,0.0009064999758265913
201122752936500,五次调平,1,9.521842002868652e-05,0.1006103903055191,9.781147003173828,0.0008783999946899712
201122752937000,五次调平,2,0.004142192658036947,-0.030993156135082245,0.001894568558782339,0.0008589000208303332
201122752937400,五次调平,3,0.6683399081230164,0.13910801708698273,100.8515625,0.0008398000209126621
201122754538000,五次调平,1,0.00014068186283111572,0.11493946611881256,9.802396774291992,0.0010576000204309821
201122754538800,五次调平,2,0.005207457114011049,-0.023536305874586105,-0.0002359601785428822,0.0010383000189904124
201122754539400,五次调平,3,0.6686338782310486,0.13787001371383667,100.8514404296875,0.0010190999892074615
201122756118800,五次调平,1,-0.01407894492149353,0.14356353878974915,9.837818145751953,0.0010019000037573278
201122756119900,五次调平,2,0.008403249084949493,-0.003296283073723316,-0.0023664887994527817,0.0009839000122155994
201122756120500,五次调平,3,0.6705524921417236,0.1377955973148346,100.85128021240234,0.000965000013820827
201122757210900,五次调平,1,-0.02825343608856201,0.1578855812549591,9.86624526977539,0.0004718999844044447
201122757211400,五次调平,2,0.0009463997557759285,-0.0011657543946057558,-0.0023664887994527817,0.00044609999167732894
201122757215000,五次调平,3,0.6714730858802795,0.13843154907226562,100.85114288330078,0.0004298999847378582
201122758313500,五次调平,1,-0.02825343608856201,0.1578855812549591,9.86624526977539,0.001574499998241663
201122758314200,五次调平,2,0.0009463997557759285,-0.0011657543946057558,-0.0023664887994527817,0.0015490000077988952
201122758314800,五次调平,3,0.6714730858802795,0.13843154907226562,100.85114288330078,0.0015297000063583255
201122759424500,五次调平,1,0.02199167013168335,0.1222633421421051,9.880666732788086,0.0009938000002875924
201122759425700,五次调平,2,-0.005445186514407396,0.002030038507655263,0.000829304161015898,0.0009757000079844147
201122759426100,五次调平,3,0.6713606715202332,0.13838064670562744,100.85111999511719,0.000957300013396889
201122760538500,五次调平,1,0.035939812660217285,0.12218919396400452,9.83071517944336,0.0004130000015720725
201122760539000,五次调平,2,-0.0011841291561722755,-0.003296283073723316,-0.0055622817017138,0.0003949000092688948
201122760539400,五次调平,3,0.6713339686393738,0.13673321902751923,100.85037231445312,0.0003768000169657171
201122761644800,五次调平,1,0.035939812660217285,0.12218919396400452,9.83071517944336,0.0015193999861367047
201122761645400,五次调平,2,-0.0011841291561722755,-0.003296283073723316,-0.0055622817017138,0.001501299993833527
201122761647900,五次调平,3,0.6713339686393738,0.13673321902751923,100.85037231445312,0.0014851000159978867
201122762735200,五次调平,1,0.00023137032985687256,0.12212429195642471,9.823715209960938,0.0010392999975010753
201122762736300,五次调平,2,0.0009463997557759285,-0.009687868878245354,-0.004497017711400986,0.0010199999960605055
201122762736800,五次调平,3,0.6715185642242432,0.1362932026386261,100.8499526977539,0.0010006000229623169
201122763873900,五次调平,1,-0.013988830149173737,0.10064394772052765,9.809713363647461,0.00043319998076185584
201122763874800,五次调平,2,0.007337986025959253,-0.008622604422271252,0.001894568558782339,0.0004146000137552619
201122763875300,五次调平,3,0.6716911792755127,0.1359720528125763,100.84990692138672,0.00039500001003034413
201122764978000,五次调平,1,-0.013988830149173737,0.10064394772052765,9.809713363647461,0.0015371999761555344
201122764978700,五次调平,2,0.007337986025959253,-0.008622604422271252,0.001894568558782339,0.001518500008387491
201122764981000,五次调平,3,0.6716911792755127,0.1359720528125763,100.84990692138672,0.0015007000183686614
201122766055300,五次调平,1,0.0001858249306678772,0.10063744336366653,9.795404434204102,0.0009054999973159283
201122766056000,五次调平,2,0.0030769282020628452,0.0030953027307987213,-0.0023664887994527817,0.0008874000050127506
201122766056400,五次调平,3,0.6716022491455078,0.136128768324852,100.84980773925781,0.0008688000089023262
201122767591000,五次调平,1,-0.014034055173397064,0.10778819024562836,9.80964469909668,0.0009524000051897019
201122767591700,五次调平,2,0.004142192658036947,0.0030953027307987213,-0.0023664887994527817,0.0009327999723609537
201122767592100,五次调平,3,0.6716728806495667,0.13671739399433136,100.8496322631836,0.0009138000023085624
201122769085900,五次调平,1,-0.0354771614074707,0.11490161716938019,9.809652328491211,0.0008310000121127814
201122769086900,五次调平,2,0.006272721569985151,0.002030038507655263,-0.0002359601785428822,0.0008127999899443239
201122769087300,五次调平,3,0.6724148392677307,0.13854537904262543,100.84955596923828,0.0007938999915495515
201122770592700,五次调平,1,-0.03538655489683151,0.11492867767810822,9.823909759521484,0.000541499990504235
201122770593800,五次调平,2,-0.005445186514407396,-0.008622604422271252,-0.0023664887994527817,0.0005237000004854053
201122770594200,五次调平,3,0.672383725643158,0.14010289311408997,100.84953308105469,0.0005048000020906329
201122771839500,五次调平,1,-0.03538655489683151,0.11492867767810822,9.823909759521484,0.0017859000072348863
201122771846700,五次调平,2,-0.005445186514407396,-0.008622604422271252,-0.0023664887994527817,0.0017755999870132655
201122771849600,五次调平,3,0.672383725643158,0.14010289311408997,100.84953308105469,0.0017592000076547265
201122773373400,五次调平,1,0.00727323442697525,0.1077919602394104,9.795310974121094,0.0014032000035513192
201122773374600,五次调平,2,-0.013967301696538925,-0.013948925770819187,0.000829304161015898,0.0013855000142939389
201122773375000,五次调平,3,0.6707029342651367,0.1386207938194275,100.8494873046875,0.0013672999921254814
201122774961700,五次调平,1,0.00014068186283111572,0.11493946611881256,9.802396774291992,0.00152009999146685
201122774964600,五次调平,2,-0.013967301696538925,-0.00542681198567152,-0.0002359601785428822,0.0015047000197228044
201122774965200,五次调平,3,0.6698960065841675,0.1384151130914688,100.84938049316406,0.0014857999922242016
201122776570800,五次调平,1,-0.07845365256071091,0.15773248672485352,9.823652267456055,5.15999854542315e-05
201122776573000,五次调平,2,-0.0011841291561722755,0.019074268639087677,-0.0013012245763093233,3.37999954354018e-05
201122776573400,五次调平,3,0.6711246967315674,0.1444464772939682,100.8492660522461,1.4400022337213159e-05
201122778089800,五次调平,1,-0.07845365256071091,0.15773248672485352,9.823652267456055,0.0015702999953646213
201122778091000,五次调平,2,-0.0011841291561722755,0.019074268639087677,-0.0013012245763093233,0.0015516999992541969
201122778091400,五次调平,3,0.6711246967315674,0.1444464772939682,100.8492660522461,0.0015323999978136271
201122779643900,五次调平,1,-0.049923136830329895,0.15777358412742615,9.823549270629883,0.0014346999814733863
201122779644700,五次调平,2,-0.0011841291561722755,0.004160567186772823,0.005090361461043358,0.0014161999861244112
201122779645300,五次调平,3,0.6728050708770752,0.14807964861392975,100.84968566894531,0.0013973000168334693
201122781163000,五次调平,1,-0.014486506581306458,0.15775732696056366,9.787778854370117,0.0014622000162489712
201122781163800,五次调平,2,-0.00011886470019817352,-0.003296283073723316,0.009351419284939766,0.0014417000056710094
201122781164200,五次调平,3,0.6736847758293152,0.14826375246047974,100.85022735595703,0.0014216999989002943
201122782677400,五次调平,1,0.013998553156852722,0.14346936345100403,9.766427993774414,0.0014081000117585063
201122782678100,五次调平,2,0.00946851447224617,0.0009647742263041437,0.001894568558782339,0.0013902999926358461
201122782678500,五次调平,3,0.6761162877082825,0.14792411029338837,100.8506088256836,0.001372099999571219
201122784195600,五次调平,1,0.007092267274856567,0.1292111724615097,9.78797721862793,0.00146819997462444
201122784196600,五次调平,2,0.013729570433497429,0.005225831642746925,-0.004497017711400986,0.0014486000000033528
201122784197400,五次调平,3,0.6771741509437561,0.14815109968185425,100.85026550292969,0.001428399991709739
201122785863200,五次调平,1,5.260109901428223e-06,0.15784552693367004,9.823371887207031,5.6199991377070546e-05
201122785864200,五次调平,2,0.004142192658036947,0.00629109563305974,-0.004497017711400986,3.4500000765547156e-05
201122785864800,五次调平,3,0.6800848245620728,0.1495448797941208,100.84891510009766,1.4999997802078724e-05
201122787395800,五次调平,1,5.260109901428223e-06,0.15784552693367004,9.823371887207031,0.0015885999891906977
201122787396900,五次调平,2,0.004142192658036947,0.00629109563305974,-0.004497017711400986,0.0015673000016249716
201122787397400,五次调平,3,0.6800848245620728,0.1495448797941208,100.84891510009766,0.0015474999963771552
201122788949400,五次调平,1,0.007319346070289612,0.17938323318958282,9.873041152954102,0.0014510000182781368
201122788950200,五次调平,2,-0.0011841291561722755,0.007356360089033842,0.009351419284939766,0.001432999997632578
201122788950600,五次调平,3,0.6825546622276306,0.1500871181488037,100.84949493408203,0.001413899997714907
201122790528200,五次调平,1,0.00036719441413879395,0.11500710248947144,9.83803939819336,0.0014331999991554767
201122790529200,五次调平,2,-0.004379922058433294,-0.004361547529697418,-0.0013012245763093233,0.0014158999838400632
201122790529600,五次调平,3,0.6831216216087341,0.1500682383775711,100.84961700439453,0.0013968999846838415
201122792103500,五次调平,1,0.014677435159683228,0.08641008287668228,9.816877365112305,0.0015205000236164778
201122792106800,五次调平,2,-0.00011886470019817352,-0.013948925770819187,-0.004497017711400986,0.001503100007539615
201122792109500,五次调平,3,0.6824634671211243,0.1490335911512375,100.84935760498047,0.0014857999922242016
201122793686400,五次调平,1,0.042891234159469604,0.12214536219835281,9.802175521850586,0.0014526000013574958
201122793692500,五次调平,2,-0.00011886470019817352,-0.008622604422271252,0.000829304161015898,0.0014396999904420227
201122793696700,五次调平,3,0.6819963455200195,0.14614568650722504,100.84911346435547,0.001424699992639944
201122795259900,五次调平,1,0.04271027445793152,0.14356456696987152,9.794841766357422,0.0015118000155780464
201122795263600,五次调平,2,0.0009463997557759285,0.002030038507655263,-0.0013012245763093233,0.0014946000010240823
201122795266700,五次调平,3,0.6826050877571106,0.14544495940208435,100.8489761352539,0.0014779999910388142
201122796813900,五次调平,1,0.007408894598484039,0.08635922521352768,9.795516967773438,0.001441999978851527
201122796816900,五次调平,2,0.0030769282020628452,0.005225831642746925,-0.004497017711400986,0.0014263999764807522
