canid,name,channel,pos_rad,vel,tau_nm,err
1,FL_thigh,0,0.0,0.0,0.0,0
2,FL_calf,0,0.0,0.0,0.0,0
3,FR_thigh,1,0.0,0.0,0.0,0
4,FR_calf,1,0.0,0.0,0.0,0
5,RL_thigh,0,0.0,0.0,0.0,0
6,RL_calf,0,0.0,0.0,0.0,0
7,RR_thigh,1,0.0,0.0,0.0,0
8,RR_calf,1,0.0,0.0,0.0,0
