t_host_mono_ns,channel,can_id,data_hex
203150253630200,0,17,0100550a01000000
203150253738700,0,17,117f3c7ff8001d1a
203150253760000,0,17,117f3c7ff8001d1a
203150253771500,0,17,117f3c7ff8001d1a
203150253778800,0,17,117f3c7ff8001d1a
203150253795300,0,17,117f3c7fe8001d1a
203150364033200,0,17,117f3b7ff7ff1d1a
203150474472900,0,17,117f3c8008001d1a
203150474510400,0,17,117f3c7ff7ff1d1a
203150474524900,0,17,117f3c7ff7ff1d1a
203150474532100,0,17,117f3c7ff7fe1d1a
203150474542000,0,17,117f3b7fe7ff1d1a
203150474548600,0,17,117f3b7ff7ff1d1a
203150474557400,0,17,117f3c7ff7fe1d1a
203150474563400,0,17,117f3c7ff7fe1d1a
203150474568900,0,17,117f3c7ff7fe1d1a
203150474574800,0,17,117f3c7ff7fe1d1a
203150474580900,0,17,117f3c7ff7fd1d1a
203150474587400,0,17,117f3c7ff7fd1d1a
203150474593400,0,17,117f3c8007fe1d1a
203150474599500,0,17,117f3b7fe7fe1d1a
203150474605900,0,17,117f3b7ff7fd1d1a
203150474611500,0,17,117f3c7ff7fd1d1a
203150474617400,0,17,117f3c7ff7fd1d1a
203150583721900,0,17,117f3c8007fd1d1a
203150583753800,0,17,117f3c8007fc1d1a
203150583763000,0,17,117f3c7ff7fc1d1a
203150583771600,0,17,117f3c7ff7fc1d1a
203150583778600,0,17,117f3c7ff7fc1d1a
203150583784800,0,17,117f3b7fe7fc1d1a
203150583792800,0,17,117f3c7ff7fc1d1a
203150583801600,0,17,117f3c7ff7fc1d1a
203150583808500,0,17,117f3b7ff7fc1d1a
203150583814700,0,17,117f3c7ff7fc1d1a
203150583820500,0,17,117f3b7ff7fd1d1a
203150583826400,0,17,117f3b7ff7fd1d1a
203150583840700,0,17,117f3b7ff7fd1d1a
203150583857700,0,17,117f3c8007fc1d1a
203150583875100,0,17,117f3c7ff7fc1d1a
203150583891900,0,17,117f3c7ff7fc1d1a
203150583900400,0,17,117f3c7ff7fd1d1a
203150583909000,0,17,117f3b7ff7fd1d1a
203150583915800,0,17,117f3b7fe7fd1d1a
203150583921800,0,17,117f3c7fe7fc1d1a
203150583927700,0,17,117f3b7ff7fd1d1a
203150583933500,0,17,117f3b7ff7fc1d1a
203150583945400,0,17,117f3c7ff7fd1d1a
203150583952300,0,17,117f3c7ff7fd1d1a
203150583958300,0,17,117f3c8007fd1d1a
203150583964400,0,17,117f3c8007fc1d1a
203150583970400,0,17,117f3c7ff7fc1d1a
203150583976400,0,17,117f3b7ff7fb1d1a
203150583982300,0,17,117f3b7ff7fb1d1a
203150583998500,0,17,117f3b7fe7fb1d1a
203150584005300,0,17,117f3b7ff7fc1d1a
203150584011300,0,17,117f3b7ff7fc1d1a
203150584017100,0,17,117f3b7ff7fc1d1a
203150584023100,0,17,117f3c7ff7fc1d1a
203150584031100,0,17,117f3b8007fc1d1a
203150584037500,0,17,117f3c7ff7fc1d1a
203150584043500,0,17,117f3c7ff7fd1d1a
203150584049200,0,17,117f3c8007fc1d1a
203150584055000,0,17,117f3c8007fc1d1a
203150584061600,0,17,117f3b7ff7fc1d1a
203150584067700,0,17,117f3c7fe7fc1d1a
203150584074400,0,17,117f3c8007fc1d1a
203150584088200,0,17,117f3b7fe7fb1d1a
203150584096000,0,17,117f3c7ff7fc1d1a
203150584101800,0,17,117f3c8007fc1d1a
203150584107500,0,17,117f3c7ff7fb1d1a
203150584113700,0,17,117f3c7ff7fb1d1a
203150584119500,0,17,117f3b7fe7fb1d1a
203150584125600,0,17,117f3c7fe7fb1d1a
