scenario,repeat,scenario_phase,phase_time_s,scenario_time_s,step,episode_step,command_x,command_y,command_yaw,reward,done,gait_phase,root_height_m,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,mechanical_power_abs_w,raw_action_FL_thigh,raw_action_FL_calf,raw_action_FR_thigh,raw_action_FR_calf,raw_action_RL_thigh,raw_action_RL_calf,raw_action_RR_thigh,raw_action_RR_calf,applied_action_FL_thigh,applied_action_FL_calf,applied_action_FR_thigh,applied_action_FR_calf,applied_action_RL_thigh,applied_action_RL_calf,applied_action_RR_thigh,applied_action_RR_calf,joint_target_rad_FL_thigh,joint_target_rad_FL_calf,joint_target_rad_FR_thigh,joint_target_rad_FR_calf,joint_target_rad_RL_thigh,joint_target_rad_RL_calf,joint_target_rad_RR_thigh,joint_target_rad_RR_calf,joint_pos_rad_FL_thigh,joint_pos_rad_FL_calf,joint_pos_rad_FR_thigh,joint_pos_rad_FR_calf,joint_pos_rad_RL_thigh,joint_pos_rad_RL_calf,joint_pos_rad_RR_thigh,joint_pos_rad_RR_calf,joint_vel_rad_s_FL_thigh,joint_vel_rad_s_FL_calf,joint_vel_rad_s_FR_thigh,joint_vel_rad_s_FR_calf,joint_vel_rad_s_RL_thigh,joint_vel_rad_s_RL_calf,joint_vel_rad_s_RR_thigh,joint_vel_rad_s_RR_calf,joint_acc_rad_s2_FL_thigh,joint_acc_rad_s2_FL_calf,joint_acc_rad_s2_FR_thigh,joint_acc_rad_s2_FR_calf,joint_acc_rad_s2_RL_thigh,joint_acc_rad_s2_RL_calf,joint_acc_rad_s2_RR_thigh,joint_acc_rad_s2_RR_calf,joint_torque_nm_FL_thigh,joint_torque_nm_FL_calf,joint_torque_nm_FR_thigh,joint_torque_nm_FR_calf,joint_torque_nm_RL_thigh,joint_torque_nm_RL_calf,joint_torque_nm_RR_thigh,joint_torque_nm_RR_calf,foot_height_m_FL_foot,foot_height_m_FR_foot,foot_height_m_RL_foot,foot_height_m_RR_foot,foot_vel_z_m_s_FL_foot,foot_vel_z_m_s_FR_foot,foot_vel_z_m_s_RL_foot,foot_vel_z_m_s_RR_foot,foot_contact_force_n_FL_foot,foot_contact_force_n_FR_foot,foot_contact_force_n_RL_foot,foot_contact_force_n_RR_foot,desired_contact_FL_foot,desired_contact_FR_foot,desired_contact_RL_foot,desired_contact_RR_foot
stand,0,settle,0.0,0.0,0,1,0.0,0.0,0.0,0.05477006733417511,0,0.0,0.29893213510513306,0.05539896711707115,0.027342023327946663,-0.05798083171248436,-0.017778342589735985,0.34691140055656433,-0.03652612492442131,-0.00012321336544118822,0.00020386645337566733,-1.0,5.144878387451172,-0.14206725358963013,0.5689938068389893,0.326751708984375,0.35219454765319824,-0.1489415317773819,0.43252915143966675,-0.21906031668186188,0.5416057109832764,-0.14206725358963013,0.5689938068389893,0.326751708984375,0.35219454765319824,-0.1489415317773819,0.43252915143966675,-0.21906031668186188,0.5416057109832764,0.05158654600381851,-0.04620123654603958,-0.014649651944637299,-0.0895610824227333,0.05021169036626816,-0.07349416613578796,-0.12381206452846527,-0.0516788512468338,-0.10000308603048325,-0.018603859469294548,0.06591007113456726,-0.021318510174751282,-0.07876300066709518,-0.014394749887287617,0.07214773446321487,-0.013985978439450264,1.5813499689102173,-0.44413426518440247,-1.016068458557129,-0.9443917274475098,-0.14218512177467346,0.003629624843597412,0.15056952834129333,0.0825844332575798,55.47239685058594,-7.318693161010742,-64.00916290283203,-46.83586502075195,79.5377197265625,-51.11417770385742,-72.08638763427734,-42.295719146728516,1.2990999221801758,0.21649426221847534,-0.845159649848938,-0.5223650932312012,4.603482723236084,-2.511218309402466,-5.530948638916016,-1.7664670944213867,0.020690057426691055,0.02070477604866028,0.020216217264533043,0.02020733617246151,-0.14147256314754486,-0.08261688798666,0.011371363885700703,0.016828984022140503,0.0,0.0,33.34816360473633,36.49663543701172,1.0,1.0,1.0,1.0
stand,0,settle,0.02,0.02,1,2,0.0,0.0,0.0,0.053842488676309586,0,0.0,0.2987598478794098,0.08468127995729446,0.0329856313765049,0.008371380157768726,-0.021317558363080025,0.02107025310397148,0.01368909701704979,0.0009468047646805644,0.0005571001092903316,-0.9999994039535522,1.610431432723999,-0.28675103187561035,1.023254156112671,0.8833496570587158,0.9727619886398315,-0.5043630003929138,0.7508296370506287,0.22455082833766937,0.6829485297203064,-0.28675103187561035,1.023254156112671,0.8833496570587158,0.9727619886398315,-0.5043630003929138,0.7508296370506287,0.22455082833766937,0.6829485297203064,0.022649791091680527,0.044650837779045105,0.09666994214057922,0.03455241024494171,-0.020872600376605988,-0.009834066033363342,-0.03508983179926872,-0.023410290479660034,-0.09546536207199097,-0.020837850868701935,0.06365256011486053,-0.019333429634571075,-0.07565540820360184,-0.015336349606513977,0.069841668009758,-0.01230927649885416,0.16823267936706543,-0.033492568880319595,-0.2743040919303894,0.05189225450158119,0.2293541580438614,-0.028944097459316254,-0.14347457885742188,0.13314223289489746,1.6936302185058594,0.7987521886825562,-2.0374059677124023,-0.762323260307312,7.497763633728027,-3.1150870323181152,-3.2173454761505127,0.08554458618164062,3.087189197540283,1.6571308374404907,1.1288697719573975,1.3926308155059814,1.1114661693572998,0.19236835837364197,-2.1662588119506836,-0.6185336112976074,0.02024873159825802,0.020237935706973076,0.020237673074007034,0.020223097875714302,0.0020482661202549934,-0.0005320495110936463,0.007866227999329567,0.00981337483972311,15.491087913513184,24.572994232177734,38.15981674194336,32.49983596801758,1.0,1.0,1.0,1.0
stand,0,settle,0.04,0.04,2,3,0.0,0.0,0.0,0.047447700053453445,0,0.0,0.2988145351409912,0.12140299379825592,0.029764659702777863,0.008165907114744186,-0.017664123326539993,0.01365748792886734,-0.0011565223103389144,0.0009288929286412895,0.0009035018156282604,-0.9999991655349731,1.9960412979125977,-0.31519439816474915,0.9625383615493774,0.6135204434394836,0.9319499731063843,-0.3149673342704773,0.939230740070343,0.29763323068618774,0.7243907451629639,-0.31519439816474915,0.9625383615493774,0.6135204434394836,0.9319499731063843,-0.3149673342704773,0.939230740070343,0.29763323068618774,0.7243907451629639,0.016961120069026947,0.032507672905921936,0.04270409047603607,0.02639000117778778,0.017006531357765198,0.027846157550811768,-0.02047334983944893,-0.01512184739112854,-0.08786148577928543,-0.022549554705619812,0.05748426914215088,-0.018162252381443977,-0.06780444085597992,-0.017194682732224464,0.0641075149178505,-0.010822764597833157,0.3200731873512268,-0.02918648160994053,-0.3521151542663574,0.05910494178533554,0.35845667123794556,-0.0269215889275074,-0.2769564986228943,0.11612169444561005,3.6659538745880127,0.7323693633079529,-6.124699115753174,-0.017815828323364258,4.9192609786987305,0.15000700950622559,-8.149650573730469,-3.597667694091797,2.350926637649536,1.3936578035354614,0.12918171286582947,1.122099757194519,1.6424896717071533,1.438215970993042,-1.4904425144195557,-0.4376448392868042,0.02024240419268608,0.02023652382194996,0.02024853229522705,0.0202163215726614,0.0012985507491976023,0.0014258845476433635,0.006487739738076925,0.006890366785228252,23.298681259155273,17.58677101135254,31.932575225830078,37.09172439575195,1.0,1.0,1.0,1.0
stand,0,settle,0.06,0.06,3,4,0.0,0.0,0.0,0.04349365457892418,0,0.0,0.2988698184490204,0.14286664128303528,0.02895320951938629,0.00733927683904767,-0.020164616405963898,0.011097770184278488,0.025970159098505974,0.0008949022158049047,0.0012321959948167205,-0.9999988675117493,2.1156163215637207,-0.33959081768989563,0.9323744773864746,0.6787955164909363,0.9600784778594971,-0.3300352096557617,0.9191451668739319,0.3183426260948181,0.7424820065498352,-0.33959081768989563,0.9323744773864746,0.6787955164909363,0.9600784778594971,-0.3300352096557617,0.9191451668739319,0.3183426260948181,0.7424820065498352,0.012081831693649292,0.026474907994270325,0.05575910210609436,0.03201569616794586,0.013992957770824432,0.02382904291152954,-0.016331471502780914,-0.011503592133522034,-0.07876908034086227,-0.024347806349396706,0.04988199844956398,-0.016657723113894463,-0.058801840990781784,-0.018702497705817223,0.05633364990353584,-0.009649893268942833,0.4253893494606018,-0.07460677623748779,-0.453719824552536,0.06032894179224968,0.4140101671218872,-0.016364222392439842,-0.3962075114250183,0.0889751985669136,5.782365798950195,-3.175872564315796,-3.234851360321045,-0.8310086727142334,-2.023136615753174,5.3002400398254395,0.6093621253967285,5.804931163787842,1.7031021118164062,1.3507026433944702,0.766251266002655,1.2276850938796997,1.139042615890503,1.4011181592941284,-0.9009365439414978,-0.19301727414131165,0.02024470455944538,0.020235184580087662,0.02024800516664982,0.02021694928407669,0.0019297434482723475,0.0008434006595052779,0.003706381656229496,0.0065703499130904675,25.968748092651367,20.95111656188965,29.983278274536133,35.98554611206055,1.0,1.0,1.0,1.0
stand,0,settle,0.08,0.08,4,5,0.0,0.0,0.0,0.042084693908691406,0,0.0,0.2989179491996765,0.15869571268558502,0.025693245232105255,0.00661000981926918,-0.015553473494946957,0.009292220696806908,0.013515425845980644,0.0008653574623167515,0.001535413321107626,-0.9999984502792358,2.1244306564331055,-0.3195192813873291,0.9652238488197327,0.6391599774360657,0.9273068904876709,-0.2895023822784424,0.9416149258613586,0.2954779863357544,0.7484185695648193,-0.3195192813873291,0.9652238488197327,0.6391599774360657,0.9273068904876709,-0.2895023822784424,0.9416149258613586,0.2954779863357544,0.7484185695648193,0.01609613746404648,0.03304477035999298,0.04783199727535248,0.025461390614509583,0.02209952101111412,0.028322994709014893,-0.02090439945459366,-0.010316282510757446,-0.06848465651273727,-0.026218293234705925,0.04105990752577782,-0.015243875794112682,-0.04890228807926178,-0.019988974556326866,0.04731030762195587,-0.0086281169205904,0.480654239654541,-0.05916716903448105,-0.5060809850692749,0.04828205704689026,0.49350711703300476,-0.045874591916799545,-0.4435216784477234,0.08164718002080917,3.472256660461426,-0.21988674998283386,-2.4659037590026855,-0.9180396795272827,5.79221248626709,-4.680070400238037,1.8450558185577393,5.315800189971924,1.354889988899231,1.5541027784347534,0.8685553073883057,1.0291556119918823,1.011717438697815,1.5290848016738892,-0.6949078440666199,-0.17579829692840576,0.020244374871253967,0.020233292132616043,0.02024484984576702,0.02022194303572178,0.0013089630519971251,0.0009072815882973373,0.00564097985625267,0.005705295596271753,23.759201049804688,25.077062606811523,32.12614822387695,30.120166778564453,1.0,1.0,1.0,1.0
stand,0,settle,0.1,0.1,5,6,0.0,0.0,0.0,0.04120822250843048,0,0.0,0.2989499866962433,0.1666690558195114,0.02190038375556469,0.0051636965945363045,-0.011381828226149082,0.007800969760864973,0.016317183151841164,0.0008279980393126607,0.001776640652678907,-0.9999980926513672,1.831796646118164,-0.3278009593486786,0.9628162980079651,0.633898913860321,0.9323923587799072,-0.275479257106781,0.939003050327301,0.28000354766845703,0.7583625316619873,-0.3278009593486786,0.9628162980079651,0.633898913860321,0.9323923587799072,-0.275479257106781,0.939003050327301,0.28000354766845703,0.7583625316619873,0.014439806342124939,0.03256326913833618,0.046779781579971313,0.026478484272956848,0.024904146790504456,0.02780061960220337,-0.02399928867816925,-0.008327484130859375,-0.05768313258886337,-0.027767393738031387,0.031571902334690094,-0.013980683870613575,-0.03824787959456444,-0.02119208127260208,0.03770332783460617,-0.007663095369935036,0.5227274894714355,-0.06023452430963516,-0.5479130744934082,0.036289893090724945,0.5105428695678711,-0.019831188023090363,-0.48508960008621216,0.06598485261201859,1.605212688446045,-0.2979397773742676,-1.572871208190918,-0.6588995456695557,0.4618406295776367,0.4477832317352295,1.3895213603973389,4.219256401062012,0.8601212501525879,1.5826671123504639,1.127237319946289,1.0495893955230713,0.7139605283737183,1.5495259761810303,-0.46946340799331665,-0.12382525205612183,0.020242221653461456,0.020232442766427994,0.02024446614086628,0.020219627767801285,0.0010809935629367828,0.00021646708773914725,0.0037781596183776855,0.004595724865794182,27.32504653930664,24.762910842895508,28.782546997070312,30.304964065551758,1.0,1.0,1.0,1.0
stand,0,settle,0.12,0.12,6,7,0.0,0.0,0.0,0.04093372821807861,0,0.0,0.2989659905433655,0.16991360485553741,0.017501387745141983,0.0035624869633466005,-0.007563962135463953,0.005416496191173792,0.02053077332675457,0.0007973700994625688,0.0019652473274618387,-0.9999977350234985,1.6223324537277222,-0.31600281596183777,0.9792981743812561,0.6115705966949463,0.924128532409668,-0.2523496150970459,0.9445390701293945,0.2536410689353943,0.7783839106559753,-0.31600281596183777,0.9792981743812561,0.6115705966949463,0.924128532409668,-0.2523496150970459,0.9445390701293945,0.2536410689353943,0.7783839106559753,0.016799435019493103,0.035859644412994385,0.04231411963701248,0.02482570707798004,0.029530074447393417,0.02890782058238983,-0.02927178516983986,-0.004323214292526245,-0.04669913649559021,-0.029145536944270134,0.02171245962381363,-0.01280208583921194,-0.02757973037660122,-0.022039275616407394,0.027671348303556442,-0.006850242614746094,0.5404663681983948,-0.05586358159780502,-0.5700251460075378,0.02842416986823082,0.5201700329780579,-0.011710962280631065,-0.5234870314598083,0.02725462056696415,0.6650567054748535,0.41111111640930176,-1.4644384384155273,-0.8174620866775513,0.48758983612060547,0.2974819540977478,-3.695380687713623,-4.218743324279785,0.5496155023574829,1.6950188875198364,1.2823723554611206,0.9851163625717163,0.5312328338623047,1.5896273851394653,-0.3350604772567749,-0.046267904341220856,0.020241837948560715,0.020230799913406372,0.020243031904101372,0.02022271603345871,0.0011438142973929644,-0.00016514203161932528,0.002941206330433488,0.00429153349250555,28.431236267089844,25.729522705078125,27.46807098388672,28.42030906677246,1.0,1.0,1.0,1.0
stand,0,settle,0.14,0.14,7,8,0.0,0.0,0.0,0.041599974036216736,0,0.0,0.2989619970321655,0.16851328313350677,0.013310840353369713,0.0022577799391001463,-0.00375487026758492,0.005011268425732851,0.017177097499370575,0.0007613963098265231,0.0020928422454744577,-0.9999974966049194,1.357275366783142,-0.31212538480758667,0.9902098774909973,0.5955218076705933,0.9240113496780396,-0.23085840046405792,0.9427968263626099,0.23182447254657745,0.7968198657035828,-0.31212538480758667,0.9902098774909973,0.5955218076705933,0.9240113496780396,-0.23085840046405792,0.9427968263626099,0.23182447254657745,0.7968198657035828,0.017574921250343323,0.03804197907447815,0.039104364812374115,0.024802282452583313,0.03382831811904907,0.028559371829032898,-0.03363510221242905,-0.0006360262632369995,-0.03582414239645004,-0.030247198417782784,0.011794553138315678,-0.011756887659430504,-0.017021212726831436,-0.02263209968805313,0.01755557581782341,-0.006192047614604235,0.545417845249176,-0.04866668954491615,-0.5762762427330017,0.01599513366818428,0.5199143886566162,-0.006136281415820122,-0.5247411727905273,0.019123785197734833,-0.14889240264892578,0.6158791780471802,-0.8664727210998535,-0.922568142414093,-0.08435249328613281,0.35099759697914124,-2.749025821685791,-4.013000965118408,0.22927868366241455,1.7619742155075073,1.4479281902313232,0.979403018951416,0.35650336742401123,1.585357427597046,-0.19099700450897217,0.057387299835681915,0.02024124376475811,0.020229341462254524,0.02024085447192192,0.020222501829266548,0.0009139443864114583,-0.0005774517776444554,0.002949504181742668,0.003510871669277549,29.110729217529297,27.150182723999023,26.802907943725586,26.921716690063477,1.0,1.0,1.0,1.0
stand,0,settle,0.16,0.16,8,9,0.0,0.0,0.0,0.0424652062356472,0,0.0,0.2989404797554016,0.16406749188899994,0.009249292314052582,0.0009891502559185028,-0.00072075380012393,0.004498596303164959,0.017851119861006737,0.0007264972664415836,0.0021629210095852613,-0.9999973773956299,1.1605268716812134,-0.30439475178718567,1.0021913051605225,0.5734744071960449,0.9237871170043945,-0.2093789428472519,0.9406823515892029,0.20258434116840363,0.8207086324691772,-0.30439475178718567,1.0021913051605225,0.5734744071960449,0.9237871170043945,-0.2093789428472519,0.9406823515892029,0.20258434116840363,0.8207086324691772,0.019121047109365463,0.04043826460838318,0.034694887697696686,0.02475742995738983,0.0381242074072361,0.0281364768743515,-0.03948312997817993,0.0041417330503463745,-0.0252864807844162,-0.03107031062245369,0.002022795844823122,-0.010862456634640694,-0.006786382291465998,-0.02297765575349331,0.007609465159475803,-0.005650339648127556,0.5365438461303711,-0.04187321662902832,-0.571495532989502,0.007348857820034027,0.5042126774787903,0.0029997732490301132,-0.5199187994003296,0.009122366085648537,-0.8185625076293945,0.5476527214050293,-0.44776201248168945,-0.781366229057312,-0.8907675743103027,0.5237787961959839,-2.4518728256225586,-4.1132330894470215,-0.02259063720703125,1.8248913288116455,1.5656447410583496,0.9721797704696655,0.21833288669586182,1.5638316869735718,-0.10297751426696777,0.19416320323944092,0.020240170881152153,0.020228512585163116,0.02024027146399021,0.020221466198563576,0.0006634930032305419,-0.0009232918382622302,0.0025817290879786015,0.0029487728606909513,30.69231414794922,27.214393615722656,25.271108627319336,26.969255447387695,1.0,1.0,1.0,1.0
stand,0,settle,0.18,0.18,9,10,0.0,0.0,0.0,0.04369773715734482,0,0.0,0.2989029288291931,0.1572015881538391,0.005633228458464146,-1.212983170262305e-05,0.00217970903031528,0.004538633860647678,0.017890358343720436,0.0006929325172677636,0.002183775883167982,-0.9999973773956299,1.2138830423355103,-0.29743409156799316,1.0135329961776733,0.5539524555206299,0.9249089956283569,-0.1886899620294571,0.9347026944160461,0.1759064644575119,0.8435842990875244,-0.29743409156799316,1.0135329961776733,0.5539524555206299,0.9249089956283569,-0.1886899620294571,0.9347026944160461,0.1759064644575119,0.8435842990875244,0.020513180643320084,0.04270660877227783,0.03079049289226532,0.02498181164264679,0.0422620065510273,0.026940539479255676,-0.0448187030851841,0.008716866374015808,-0.015253299847245216,-0.03166048601269722,-0.007439293432980776,-0.010079785250127316,0.002918492304161191,-0.0230706874281168,-0.002055057557299733,-0.0052404082380235195,0.5186783075332642,-0.035369932651519775,-0.5582613348960876,-0.0010357573628425598,0.4801797866821289,0.011106621474027634,-0.5044239163398743,0.0006880415603518486,-1.287078857421875,0.6719633936882019,-0.07228851318359375,-0.825066864490509,-1.0730743408203125,0.4102051258087158,-2.2548794746398926,-4.053126811981201,-0.2393481731414795,1.8817963600158691,1.6751493215560913,0.9731259346008301,0.11294853687286377,1.5096585750579834,-0.03126806020736694,0.3273856043815613,0.02023942768573761,0.020227355882525444,0.020238438621163368,0.020221102982759476,0.000530388904735446,-0.001274343696422875,0.0025422002654522657,0.0026329131796956062,31.30902862548828,28.005111694335938,24.559036254882812,26.348169326782227,1.0,1.0,1.0,1.0
